'tween	在中間
knock-down	有力的
knock about	自助餐
knock against	撞到
knock cold	敲空
knock off	使無效
knock rummy	杜松子酒#軋棉機
knock up	使懷孕
knockabout	猛烈的
knocked out	外面
knocking	敲
knockoff	克隆
knockout punch	製作乾草的人
know-all	假裝博學多聞者
know apart	區別
know as	名字
know nothing	不學無術的人
knowingness	察覺
knowledge base	領土
knowledge domain	領土
knowledgeableness	知識豐富的
knuckle down	奴隸
knuckle joint	指關節
KO	擊倒
KO'd	外面
KO punch	製作乾草的人
koala bear	無尾熊
Kochia scoparia	觀景樓
Koine	佛蘭卡語
kola nut	可樂樹
kola nut tree	可樂樹
kookie	溫和的
kor	荷馬
Kotex	月經用棉墊
kotow	叩頭
Kr	氪
kraft paper	牛皮紙
kris	褶縫
kt	克拉
kudzu vine	葛
kumis	乳酒
kumquat tree	金橘
kurus	披亞斯德
Kuwaiti dinar	第納爾
kV	千伏特
kvetch	抱怨
kW	千瓦
kW-hr	千瓦時
kwai	元
kyphotic	駝背的
la-di-da	宏偉的
labial consonant	唇音
labial pipe	煙洞
labialise	一輪
labialize	一輪
labiodental consonant	唇齒音
labor agreement	勞資協議
labor contract	勞資協議
labor organizer	組織者
labour	勞動
labour pains	陣痛
laboured	吃力的
labourer	勞動者
labouring	勞動
laboursaving	節省勞力的
labyrinthian	迷宮的
labyrinthine sense	平衡
lace into	投入
lace making	梭織
lace up	飾帶
laced	出租給雇工居住的
lacewing fly	草蜻蛉
lacewood	小無花果樹
lachrymal duct	淚腺
lacklustre	無光澤
lacrimal duct	淚腺
lacrimator	催淚瓦斯
Lactaid	乳糖酵素
lactating	濕氣
lactogenic hormone	泌乳刺激素
Lactuca sativa longifolia	萵苣
lad's love	苦艾酒
lade	杓子
ladened	裝滿的
lading	貨物
lady's-finger	秋葵
lady's earrings	鳳仙花科
lady beetle	瓢蟲
lady friend	女朋友
lady killer	誘惑者
lady of pleasure	妓女
lady of the house	主婦
ladybeetle	瓢蟲
ladybird beetle	瓢蟲
laevulose	果糖
Lagenaria siceraria	葫蘆
lagend	繫浮標之投海貨物
lager beer	貯藏啤酒
lagger	遊手好閒的人
laguna	瀉湖
lagune	瀉湖
lah	大音階的第6音
laicise	使凡人化
laid	一套
laid-back	使成熟
laid low	打
laissez-faire	個人主義的
laissez-faire economy	市場經濟
laissez faire	個人主義
laissez passer	穿過
lallygag	閒逛
lam into	投入
Lama pacos	羊駝
lamb's-quarter	蔾
lamb's-quarters	蔾
lambast	手杖
lamellibranch	雙殼貝
lamenter	悲傷者
lamenting	悲嘆的
laminated glass	安全玻璃
lamp chimney	煙囪
lamp oil	煤油
lamp shade	燈罩
lamper eel	七鰓鰻
lamprey eel	七鰓鰻
lancelike	矛尖形的
lancet arch	柳葉刀
lancet fish	狼魚
lancetfish	狼魚
lancewood tree	一種強韌木材
lancinate	切斷
lancinating	切斷
land area	英畝數
land mass	大陸
land mile	哩
land site	位置
land tax	房地產稅
land tenure	佔有
land up	捲起
landing place	登陸
landlubberly	粗笨的
landman	新水手
landrover	吉普車
landscape painting	風景
landwards	向陸地的
lang syne	從前
langouste	小龍蝦
laniard	繫索
Lanoxin	地高辛
lantern slide	滑
lap covering	膝部
lap joint	接合
lap up	膝部
lapidate	石
lapidist	寶石工藝匠
lappet moth	垂片
lapping	鱗狀重疊
lapsing	墮落
Laputan	輕快的
larch tree	落葉松屬植物
large number	營
larger-than-life	史詩
Larix laricina	美洲落葉松
lark about	嬉戲
larn	學習
larrup	一摑
Larus canus	鷹籠
Larus marinus	玉米穗軸
lasagne	長扁麵條所做的一道意大利菜
lash-like	鞭打
lash-up	發明
lash out	攻擊
last-place	最後的人
Last Day	結帳日
last hurrah	最後的詩篇
Last Judgement	結帳日
Last Judgment	結帳日
last name	姓
last not least	最後但並不是最不重要的
last word	別致的款式
lastingness	耐久性
latch on	把握
lateen-rigged	大三角帆的
lateen sail	大三角帆的
latent hostility	緊張
latent period	潛伏
lateral pass	側部
lateralisation	一側性
lateralization	一側性
latex paint	乳汁
Lathyrus odoratus	香豌豆
Latinise	拉丁化
latissimus dorsi	拉特銀幣
latria	崇拜
Latrodectus mactans	黑寡婦
latticelike	焦躁的
laugh line	妙語
laugh loudly	哄笑
laugh off	用笑驅除
laugh softly	吃吃的笑聲
launch area	發射台
launchpad	發射台
laundry basket	放棄
laurel wreath	裝飾
laurels	獎
Laurus nobilis	海灣#隔間
lav	盥洗室
lavalier	寶石垂飾
lavalliere	寶石垂飾
lave	膝部
law-breaking	犯罪
law-makers	立法機關
law merchant	商事法
law of closure	關閉
law of common fate	相似的
law of conservation of matter	物質守恆定律
law of continuation	繼續
law of nature	法律
law of proximity	接近
law of similarity	類似
law offender	違背者
lawn cart	墳
lawn party	遊園會
lay away	貯藏物
lay claim	要求
lay in	商店
lay into	投入
lay on the line	冒險
lay out	山脈
lay over	停留
lay waste to	廢物
laying claim	設想
laying waste	毀滅
layperson	俗人
lazar house	傳染病院
lazy Susan	轉車
lb	磅
lbf.	磅
lcm	最小公倍數
Ld.	有限公司
leaching	過濾
lead-in	指導
lead acetate	2) used in dyeing cotton and in making enamels and varnishes
lead arsenate	2) used as an insecticide
lead carbonate	鉛粉
lead line	測深繩
lead off	帶壞
lead on	欺騙
lead story	指導
lead up	接受初步知識者
leaders	領導能力
leadless	不包鉛的
leaf-book	抄本
leaf beet	糖萵苣
leaf blade	刀身
leaf mustard	芥末
leaf node	結
leafing	生葉
leafy vegetable	綠色
lean back	使斜倚
leap out	跳躍
leaping	跳躍
learned person	接受初步知識者
learnedly	博學地
learnedness	博學
learning ability	腦
learning disorder	學習障礙
lease giver	出租人
leased	受特許的
least sandpiper	節省
leastwise	最低限度
leatherback turtle	棱龜
leathered	皮似的
leatherlike	皮似的
leathery turtle	棱龜
leave-taking	辭別
leave off	除外
leave office	離開
Lebanese pound	磅
lebensraum	生存空間
Lebistes reticulatus	古比魚
lech	薩梯
lechatelierite	石英
lecherousness	貪欲
lecturing	演講
lede	指導
ledgeman	碎浪
ledger entry	登錄
lee side	庇護
leechee	荔枝
leechlike	寄生的
left-hand	左
left-handed	貴賤通婚的
left-handed pitcher	左撇子
left-luggage office	衣帽寄放處
left-of-center	左翼的人
left-slanting	反手拍
left-wing	左翼的人
left-winger	集產主義者
left field	左
left hander	左撇子
left over	剩貨
leftfield	左
lefthander	左撇子
leg covering	綁腿
leg it	腳
legal action	動作
legal age	多數
legal assistant	律師助理
legal brief	摘要
legal community	司法界
legal document	儀器
legal expert	法學家
legal guardian	託管人
legal holiday	國定假日
legal injury	壞事
legal instrument	儀器
legal jointure	寡婦所得遺產
legal opinion	意見
legal ouster	逐出
legal philosophy	法律學
legal power	司法權
legal proceeding	進行
legal residence	住所
legal separation	分離
legal transfer	投遞
legalisation	合法化
legalise	法律上認為正當
leger	分類帳
legerity	敏捷
leghorn	乘船的人
leging	綁腿
legislating	立法
legislative act	法令
legislative body	立法機關
legitimatise	法律上認為正當
legitimise	法律上認為正當
leguminous plant	豆類
leitmotiv	主導主題
lemon tree	檸檬
lemon yellow	藤黃
lemonlike	有檸檬味的
lend oneself	塗
length of service	長命
lengthened	廣大的
lengthening	延伸
lengthways	縱長
lenify	使平靜
lens cortex	皮層
Lens culinaris	小扁豆
lens hood	風帽
lens maker	光學儀器商
lens nucleus	核心
lens of the eye	透鏡
lens system	透鏡
lense	透鏡
lensman	攝影師
lentiginose	有雀斑的
lentiginous	有雀斑的
lentil plant	小扁豆
lentisk	乳香脂
Leontopodium alpinum	高山火絨草
leotards	緊身衣
lepidopteron	鱗翅類的
lepidopterous insect	鱗翅類的
lepidote	粗糙的
Lepisma saccharina	銀色的魚
Lepisosteus osseus	美國南北戰爭時的國民軍
Lepomis macrochirus	大翻車魚
leppy	迷途小牛
leprose	粗糙的
Leptoptilus crumeniferus	鸛
Leptoptilus dubius	副官
leptorhine	鼻子狹長的
leptorrhinian	鼻子狹長的
leptorrhinic	鼻子狹長的
lese majesty	叛逆
lessening	減少
lesser panda	熊貓
lesser yellow trefoil	酢漿草
let go of	放開
let up	減輕
letch	薩梯
lethargic encephalitis	嗜眠性腦炎
lethargically	昏睡的
letter bomb	包裹炸彈
letter carrier	郵差
letter of the alphabet	信
letter writer	通訊記者
letting down	天陰沈的
lettre de cachet	文件封印
leucaemia	白血病
Leucanthemum vulgare	雛菊
Leuciscus cephalus	白鮭
Leuciscus leuciscus	雅羅魚
leucocytosis	白血球增多
leucoma	白翳
leucotomy	腦白質切斷術
level best	極限
level off	水平
leveling	定等級
lever scale	提秤
lever tumbler	槓桿
leveraging	槓桿作用
Levi's	李維牛仔褲
levy en masse	徵稅
lewdly	淫穢地
lexicologist	詞典編纂者
ley	牧場
LF	低周波
Li	鋰
liberalisation	慷慨
liberalise	使自由化
liberalness	寬大
liberty chit	穿過
library paste	漿糊
Libyan dinar	第納爾
licence	許可
licenced	可接受的
licensed practical nurse	有實際經驗卻無正式訓練的護士
licentiously	放縱地
lichi	荔枝
licitly	合法地
lie in	居住
lie with	愛
liege lord	君主
liege subject	諸侯
liegeman	諸侯
life-size	與原物一樣大小的
life-style	生活方式
life-sustaining	重要的
life-threatening	危險的
life-time	生活
life assurance	人壽保險
life buoy	救命者
life preserver	保護者
life ring	救命者
life science	生物科學
life scientist	生物學家
life sentence	生活
lifelessly	無生命的
lifelessness	靜止
lifesize	與原物一樣大小的
lifespan	生活
lift bridge	可開閉的吊橋
lift off	脫下
lift out	勺子
lift up	收集起
liftgate	斜背式的汽車後門
ligan	繫浮標之投海貨物
light-colored	光
light-green	綠色
light-haired	白膚金髮碧眼的人
light-headedly	頭昏眼花地
light-mindedness	輕率
light-sensitive	感光性的
light-year	光年
light ballast	壓載物
light beam	梁
light bulb	球莖
light colonel	中校
light intensity	燭光
light reflex	瞳孔縮小
light sleep	打盹兒
light source	光
light speed	字母C
light touch	刷
light upon	開始行動
light whipping cream	可打稠製作摜奶油的奶油
lightbulb	球莖
lighted	被照明的
lighten up	使光明
lightening	變白
lightheadedness	頭昏眼花
lightless	無光的
lightlessness	黑
lightly-armed	輕武裝的
lightning bug	螢火蟲
lightsomeness	漫不經心
lignum vitae	愈瘡木脂
like an expert	熟練地
like crazy	猛烈地
like hell	猛烈地
like kings	像國王似地
like mad	猛烈地
like royalty	像國王似地
like thunder	猛烈地
likeliness	可能
lilac-colored	歐薄荷
liliopsid	單子葉植物
lilting	搖擺的
lily-livered	雞
lily-of-the-valley tree	衣索比亞的公主
limber up	拖前車
lime hydrate	酸橙樹
lime tree	酸橙樹
Limenitis archippus	副王
limit point	界限
limited review	再檢查
limitedly	有限制的
limitlessness	無限
limn	描繪...的輪廓
limning	畫輪廓
limper	蹣跚之人或動物
limping	跛
linden tree	菩提樹
line-at-a-time printer	行式印表機
line-shooter	吹牛
line-shooting	吹牛
line backer	後衛球員
line drawing	畫輪廓
line drive	班輪
line of business	繩
line of credit	作者姓名或來源附注
line of descent	降落
line of gab	演說
line of latitude	緯度
line of life	救生索
line of longitude	子午線
line of merchandise	繩
line of products	繩
line of reasoning	立論
line of vision	視線
line of work	職業
line roulette	輪盤賭
linear perspective	遠景
linear unit	長度單位制
linebacker blitzing	閃電戰
linen paper	亞麻布
ling ko	鱈
linger over	細想
lingerer	閒蕩的人
lingually	語言方面
linguistic communication	語言
linguistic context	上下文
linguistic process	語言
linguistic rule	規則
linguistic scientist	語言學家
linguistic universal	一般概念
link up	連接
links course	高爾夫球場
linksman	打高爾夫球的人
lino	油布
lintwhite	朱胸朱頂雀
lionise	捧為名人
lip rouge	口紅
lipid granulomatosis	黃瘤症
liplike	唇形科植物
Lipo-Hepin	肝磷脂
Lipo-Lutin	孕酮
lipoid granulomatosis	黃瘤症
Liposcelis divinatorius	臨終看護
Liquaemin	肝磷脂
liquefied	熔化的
liquid body substance	幽默
liquid ecstasy	肥皂
Liquid Pred	強體松
liquid state	液體
liquid unit	液量單位
liquidise	液化
liquidiser	很合群的人
liquidity crisis	信用緊縮
liquidize	賣完
liquidizer	很合群的人
liquidness	液體
liquifiable	能液化的
liquified	液體
liquify	液化
liquor licence	酒精許可證
lisle thread	萊爾線
lissom	柔軟的
lissomeness	易彎曲
lister plough	製表者
lister plow	製表者
lit	文學
litchee	荔枝
Litchi chinensis	荔枝
litchi nut	荔枝
litchi tree	荔枝
lite	光
literal error	印刷錯誤
literary argument	論據
literary criticism	批評
literary genre	類型
literary hack	劈
literary pirate	抄襲者
literate person	學者
litheness	易彎曲
lithograph machine	石版印刷
lithophytic plant	岩表植物
litmus test	石蕊
litoral	沿海地
litter lout	亂丟垃圾的人
litterer	亂丟垃圾的人
little girl	女孩
little hand	時針
Little Joe	四
Little Phoebe	五
little potato	圓花窗
little terror	恐怖
littleneck clam	小圓蛤
littoral zone	沿海地
live-and-die	鳳仙花
live-bearing	胎生的
live-forever	漫長的
live over	再體驗
live up to	使滿意
liven up	使有生氣
liver-colored	肝臟
liver pudding	肝泥香腸
liver sausage	肝泥香腸
liverleaf	地錢屬的植物
livery driver	計程車司機
lividly	鐵青的
living-room	客廳
living accommodations	遮蔽物#住房供給
living dead	巫毒崇拜
living quarters	住處
living standards	生活水準
living substance	原形質
lm	流明
load down	包
load up	負荷
loaded down	壓低
loading dock	碼頭
loads	大量
loaf of bread	麵包
loafing	懶惰
loan-blend	混血兒
loanblend	混血兒
loaning	出借
loather	憎惡者
loathly	令人厭惡的
loathsomeness	厭惡
lobby group	大廳
lobster plant	聖誕紅
lobsterback	英國軍人
lobworm	把手
local anaesthesia	局部麻醉
local anaesthetic	局部麻醉劑
local post office	郵局
localisation	局部化
localisation of function	局部化
localisation principle	局部化
localise	地方
localised	地區的
localization of function	局部化
localization principle	局部化
locally	時事問題地
locater	表示位置之物
locating	放置
locative role	位置格
lock away	鎖
lock chamber	鎖
lock in	鎖
locking	鎖住
loco disease	瘋草病
locomote	旅行
locomotive engine	火車頭
locomotive engineer	工程師
locule	室
locust bean	角豆樹
locust pod	角豆樹
locust tree	蝗蟲
lodge in	佔領
lodgement	住宿
log Z's	睡眠
logagraphia	失寫症
logarithmically	對數的
loggerhead turtle	笨蛋
loggerheaded	厚的
logic gate	大門
logical argument	立論
logical implication	含意
logical positivism	實證哲學
logical system	邏輯
logical thinking	推論
logistician	邏輯學家
logomania	速語症
Lolium temulentum	毒麥
loll around	流浪漢
lolly	一群
lone hand	孤獨的人
lonesomeness	孤獨
long-distance call	長途電話
long-fin tunny	青花魚科的海產魚
long-lasting	持久的
long-legged	長腿的
long-legs	高蹺
long-lived	持久的
long-neck clam	汽船
long-run	非永久性的
long-shanked	長腿的
long-suffering	持久的
long-term	非永久性的
long-wearing	持久的
long-winded	冗長乏味的
long-windedly	囉嗦地
long-windedness	冗長
