a	累加器
overwrite	寫得過多
overwrought	過分勞累的
overzealous	過分熱忱的
ovi-	卵
Ovid	奧維德
oviduct	輸卵管
oviform	卵形的
ovine	綿羊的
oviparous	卵生的
oviposit	排卵
ovipositor	產卵器
ovoid	卵形的
ovotestis	卵睪體
ovoviviparous	卵胎生的
ovulate	排卵
ovule	原卵
ovum	卵
ow	啊唷
owe	虧欠
owing	未付的
owl	貓頭鷹
owlet	小貓頭鷹
owlish	貓頭鷹般的
own	自己的
own brand	自己的商標
owner	擁有者
ownership	所有權
ox	牛
oxalate	草酸鹽
oxalic acid	草酸
oxalis	酢漿草
oxen	牛
oxford	牛津
Oxford English Dictionary	牛津大詞典
Oxfordshire	牛津郡
oxherd	牧牛人
oxhide	牛皮
oxidant	氧化劑
oxidation	氧化
oxidation number	氧化值
oxide	氧化物
oxidize	使氧化
oxidizing agent	氧化劑
oximeter	血氧計
oxlip	高報春
Oxonian	牛津的
oxtail	牛尾
oxter	腋
oxy-	尖銳
oxyacetylene	氧乙炔的
oxyacid	含氧酸
oxycodone	羥考酮
oxygen	氧
oxygen debt	氧債
oxygen mask	氧氣面具
oxygen tent	氧幕
oxygenate	氧合
oxygenator	氧合器
oxygenize	氧化
oxymoron	矛盾修飾法
oxyntic	泌酸的
oxytetracycline	土霉素
oxytocin	催產素
oxytone	尾重音詞
oyster	牡蠣
oyster bed	牡蠣養殖場
oystercatcher	蠣鷸
oysterman	採牡蠣者
ozokerite	地蠟
ozone	新鮮的空氣
ozone layer	臭氧層
ozonide	臭氧化物
ozonize	變成臭氧
ozonosphere	臭氧層
p	便士
p.a.	每年
p.c.	普通警員
p.m.	下午
p.n.	叩
pa	私人秘書
pabulum	食物
PAC	一六零五
pace	速度
pacemaker	帶步人
pacer	步測器
pacesetter	定速度者
pachisi	點遊戲
pachyderm	厚皮類動物
pachytene	粗線期
pacific	太平洋
Pacific Ocean	太平洋
pacifier	慰撫者
pacifism	和平主義
pacifist	和平主義者
pacify	使平靜
pack	包裹
package	包裹
packaging	包裝
packer	包裝工人
packet	小包
packet network	包網絡
packet switching	包交換
packetize	包格式化
packhorse	馱馬
packing	包裝
packing case	填料函
packsack	背包
packsaddle	馱鞍
packthread	包裝用線
pact	契約
pad	填補
padding	墊充
paddle	槳
paddle wheel	葉輪
paddock	圍場
paddy	稻
padishah	國王
padlock	掛鎖
padre	神父
paean	凱歌
paediatrician	兒科醫師
paediatrics	兒科學
paedo-	兒童
pagan	異教徒
pageant	盛會
pageantry	壯觀
pageboy	小聽差
pager	頁調度程序
Paget's disease	佩吉特氏病
paginal	頁的
pagination	標記頁數
pagoda	寶塔
pah	呸
paid	受雇的
paid-up	已付清的
pail	桶
paillette	珠片
pain	痛苦
pain threshold	痛覺閾
pained	痛的
painful	痛苦的
painfully	痛苦地
painkiller	解痛藥
painless	無痛的
painstaking	辛苦
paint	油漆
paintbox	繪具箱
paintbrush	畫筆
painter	畫家
painterly	畫家的
painting	畫
paintwork	油漆的表面
pair	一雙
pairing	配對
paisa	佩沙
Pakistan	巴基斯坦
pal	朋友
palace	宮
palace revolution	宮廷政變
paladin	騎士
palaestra	角力學校
palais	舞廳
palatable	美味的
palatal	上齶音
palatalize	使齶音化
palate	齶
palatial	宮殿似的
palaver	談判
pale	柵欄
palea	內稃
paleface	白人
paleopallium	舊
Palestine	巴勒斯坦
Palestinian	巴勒斯坦的
palette	調色板
palfrey	馴馬
pali	巴利語
palilalia	言語重復
palimpsest	重寫本
palindrome	回文
paling	木柵
palingenesis	再生
palinode	翻案詩
palisade	木柵
palisade layer	柵狀層
pall	棺罩
pall-mall	鐵圈球運動
palladium	鈀
Pallas	帕拉斯
pallet	草鋪
palliate	減輕
palliative	緩和的
pallid	蒼白的
pallium	大披肩
pallor	蒼白
pally	親密的
palm	手掌
palm oil	棕櫚油
Palma	掌
palmate	手掌狀的
palmetto	美洲蒲葵
palmist	看手相的人
palmistry	手相術
palmitate	十六
palmitic acid	棕櫚酸
palmy	棕櫚的
palomino	帕洛米諾馬
palp	觸須
palpable	可感知的
palpate	觸診
palpebral	眼瞼的
palpitant	悸動的
palpitate	悸動
palpitation	悸動
palpus	觸須
palsgrave	巴拉丁伯爵
palsy	中風
palsy-walsy	親密的
palter	含糊其詞
paltry	不足取的
paludal	沼澤地的
Paludrine	白樂君
paly	略顯蒼白的
pampas	蒲葦
pamper	放縱
pamphlet	小冊子
pamphleteer	小冊子作者
pan	平鍋
pan-	全
pan-Africanism	泛非主義
pan-American	泛美的
pan-Americanism	泛美主義
pan-fry	把
pan-German	泛德的
panacea	萬能藥
panache	羽飾
panada	面糊
panama	巴拿馬
panatella	細長雪茄
pancake	薄烤餅
panchromatic	全色性的
pancreas	胰腺
pancreatectomy	胰切除術
pancreatic juice	胰液
pancreatitis	胰腺炎
panda	大熊貓
pandect	法令全書
pandemic	大流行的
pandemonium	魔窟
pander	勾引
pandit	博學家
pandora	潘朵拉
Pandora's box	潘朵拉盒子
pandowdy	厚蘋果布丁
pane	窗玻璃
panegyric	贊頌
panegyrize	頌揚
panel	嵌板
panfish	煎食的小魚
pang	劇痛
panga	大砍刀
pangolin	穿山甲
panhandle	鍋柄
Panhellenic	泛希臘的
panic	恐慌
panic button	應急按鈕
panic-stricken	萬分恐慌的
panicle	圓錐花序
panmixia	隨機交配
pannage	林地放豬
panne	平絨
pannier	馱籃
pannikin	小盤
pannus	血管翳
panoply	全套披甲
panoptic	展示全景的
panopticon	圓形監獄
panorama	全景
panoramic	全景的
pansy	圓三色堇
pant	喘息
Pantagruelian	粗野的
pantalettes	寬鬆長褲
pantaloon	老旦
pantechnicon	家具倉庫
pantheism	泛神論
pantheon	眾神廟
panther	豹
panties	女式短褲
pantile	波形瓦
panting	氣促
panto	啞劇
panto-	全
pantomime	手勢
pantothenate	泛酸鹽
pantothenic acid	泛酸
pantry	餐具室
pantryman	餐廳管理員
pants	褲子
pantsuit	褲套裝
panzer	裝甲的
pap	奶頭
papa	爸爸
papal	羅馬教皇的
papaveraceous	罌粟科的
papaverine	罌粟堿
papaya	番木瓜樹
paper	紙
paper cup	紙杯
paper mill	檔案保存所
paper money	鈔票
paper plate	紙板
paper tape	紙帶
paper tiger	紙老虎
paper-thin	極薄的
paperback	平裝本
paperboard	紙板
paperhanger	裱糊工人
papermaking	抄紙
paperweight	鎮紙
paperwork	文書工作
papery	薄如紙的
papilionaceous	蝶形的
papilla	乳頭
papilloma	乳頭
pappus	冠毛
pappy	半流質的
paprika	紅燈籠辣椒
Papua	巴布亞島
Papuan	巴布亞島的
papule	丘疹
papyrus	紙草
par value	票面價值
par-	旁
para	帕拉
para-	旁
parabiosis	異種共生
parable	寓言
parabola	拋物線
parabolic	寓言的
paraboloid	拋物面
paracentesis	穿刺術
parachronism	記時錯誤
parachute	降落傘
Paraclete	說情人
parade	遊行
paradigm	範例
paradigmatic	模範的
paradise	天堂
parados	背牆
paradoxical	似非而是的
paradrop	空投
paraesthesia	感覺異常
paraffin	石蠟
paragon	傑出典範
paragraph	段落
paragraph mark	段標志
Paraguay	巴拉圭
parainfluenza	副流感
parakeet	長尾小鸚鵡
paraldehyde	仲乙醛
parallax	視差
parallel	平行
parallel market	平行市場
parallel port	並行端口
parallel processing	並行處理
parallelepiped	平行六面體
parallelism	平行
parallelogram	平行四邊形
paralogism	謬論
Paralympics	傷殘奧運會
paralyse	使麻痺
paralysed	麻痺的
paralysis	麻痺
paralysis agitans	震顫麻痺
paralytic	麻痺的
paramagnetic	順磁性的
paramecium	草履蟲
paramedic	傘兵軍醫
paramedical	關系醫學的
parameter	參變數
parameterize	參數化
parametric	參數的
paramilitary	輔助軍事的
paramnesia	記憶錯誤
paramount	首長
paramour	情夫
paranoia	偏執狂
paranoid	患妄想狂的
paranormal	超過正常的
paraparesis	下身輕癱
parapet	欄桿
paraphasia	語言錯亂
paraphernalia	隨身用具
paraphilia	性欲倒錯
paraphrase	釋義
paraphysis	旁突體
paraplegia	下身麻痺
paraprotein	副蛋白
parapsychology	心靈學
paraquat	對草快
parasagittal	旁矢狀面的
paraselene	幻月
parasite	寄生生物
parasitic	寄生的
parasiticide	殺寄生物藥
parasitize	寄生于
parasitoid	寄生物樣的
parasitology	寄生物學
parasol	陽傘
parastatal	半國營
parasternal	胸骨旁的
parasympathetic	副交感的
parasynthesis	雙重構詞法
parataxis	並列
parathion	對硫磷
parathyroid	副甲狀腺的
paratrooper	傘兵
paratroops	傘兵部隊
paratyphoid	副傷寒的
paravane	掃雷器
paraxial	軸旁的
parboil	煮半熟
parbuckle	套拉索
parcel	包裹
parcel post	包裹郵遞
parcel-gilt	部分鍍金的
parch	烤
parchment	羊皮紙
pard	豹
pardon	原諒
pardonable	可原諒的
pardoner	赦罪者
pare	剝
paregoric	止痛的
pareira	南美防己根
parenchyma	實質
parens patriae	政府監護
parent	父母
parentage	出身
parenteral	非腸道的
parenthesis	圓括號
parenthesize	將
parenthood	父母身分
parergon	副業
paresis	局部麻痺
parfait	凍糕
parget	石膏
parhelion	幻日
pari passu	一致
pariah	賤民
Parian	帕羅斯島的
parietal	週壁的
Paris	巴黎
Paris club	巴黎俱樂部
parish	教區
parish register	教區記事錄
parish-pump	地方範圍的
parishioner	教民
Parisian	巴黎人
parity	同等
parity bit	奇偶校驗位
park	公園
parkerizing	磷化處理
parking meter	停車記時器
Parkinson's disease	帕金森氏病
parkinsonism	震顫
parkway	公園道路
parky	寒冷的
parlance	說法
parley	會談
parliament	國會
parliamentary	國會的
Parliamentary Counsel	議院律師
parliamentary law	議會法
parliamentary procedure	議會程序
parlour	客廳
parlous	危險的
Parmesan	帕爾馬幹酪
parochial	教區的
parochialism	教區制度
parody	打油詩文
parol	口頭言詞
parole	假釋
paronomasia	雙關語
paronym	同源詞
parotid	腮腺
parotitis	腮腺炎
paroxysm	發作
parquet	鑲木地板
parquetry	鑲木細工
parr	幼鮭
parricide	殺尊親
parrot	鸚鵡
parrot fever	鸚鵡熱
parry	擋開
parse tree	分析樹
parsec	秒差距
parser	分析程序
parsimonious	過度節儉的
parsimony	過度節儉
parsley	皺葉歐芹
parsnip	歐洲防風草
parson	教區牧師
part	部分
part-song	合唱歌曲
part-time	兼任的
partake	參與
parterre	花壇
parthenogenesis	單性生殖
Parthenon	帕台農神殿
Parthia	帕提亞
parti pris	先人之見
partial	部分的
partial derivative	偏導數
partial differential equation	偏微分方程
partial order	部分有序
partial pressure	分壓
partial product	部分乘積
partiality	偏心
partially	部分地
partible	可分的
participant	參加者
participate	參加
participation	參與
participle	分詞
particle	顆粒
particle accelerator	質點加速器
particular	一項
particular solution	特解
particularity	特殊性
particularize	詳細說明
particularly	特別
particulate	微粒
parting	告別
partisan	黨羽
partisanship	黨派性
partite	分裂的
partition	分割
partition coefficient	分配系數
partitive	區分的
partizan	黨徒
partly	部分地
partner	合伙人
partnership	合伙
partook	過去式
partridge	鷓鴣
partridgeberry	蔓虎刺
parturient	分娩的
parturition	分娩
party	宴會
party line	合用線
party plan	茶會方式
party politics	政黨政治
parure	全套首飾
parvenu	暴發戶
parvis	前院
pas	優先權
pascal	語言
paschal	逾越節的
Paschen series	帕邢系
pash	打碎
pasha	帕夏
paspalum	雀稗屬
pasquinade	諷刺詩
pass	經過
passable	可通行的
passably	可通行地
passage	通道
passageway	通道
passband	通帶
passbook	存款簿
passel	一批
passenger	乘客
passerine	雀形目的
passible	易動情的
passim	到處
passing	通過
passing bell	喪鐘
passion	激情
passion flower	西番蓮
Passion Sunday	耶穌受難日
passional	熱情的
passionate	熱情的
passionless	不熱情的
passive	消極的
passive immunity	被動免疫
passive resistance	消極抵抗
Passover	逾越節
passport	護照
password	密碼
past	過去
past participle	過去分詞
pasta	意大利面食
paste	面團
pasteboard	厚紙
pastel	粉蠟筆
pastern	膠
pastiche	模仿作品
pastille	香錠
pastime	消遣
pastor	牧師
pastoral	牧歌
pastorale	田園曲
pastry	油酥點心
pasturage	牧草
pasture	牧場
pastureland	牧場
pasty	面糊似的
pat	輕拍
patagium	翼膜
patch	片
patch cord	接插線
patch pocket	貼袋
patchouli	綠葉刺蕊草
patchwork	拼縫物
patchy	補綴的
pate	頭
patella	膝蓋骨
paten	聖餐盤
patency	明顯
patent	專利權
patent leather	漆革
patent medicine	成藥
patent office	專利局
patent right	專利權
Patent Roll	專利登記冊
patently	明顯地
pater	父親
paterfamilias	家長
paternal	父親的
paternalism	家長式作風
paternity	父親身份
paternoster	主禱文
path	路徑
path length	通路長度
Pathan	普什圖人
pathetic	悲哀的
pathfinder	探路者
patho-	病
pathogen	病原體
pathogenesis	致病
pathognomonic	特殊病征的
pathography	病情記錄
pathological	病理學的
pathology	病理學
pathophysiology	病理生理學
pathos	傷感力
pathway	路徑
patience	耐性
patient	病人
patina	綠鏽
patio	21 屋子與花園之間的一片供晴天休息用的石砌空地
patisserie	法式糕點
patois	方言
patria	陪審團
patriarch	創辦人
patriarchal	家長的
patriarchate	主教的職權
patriarchy	家長統治
patrician	貴族
patriciate	貴族身份
patricide	殺父
patrilineal	父系的
patrimony	祖傳的財物
patriot	愛國者
patriotic	愛國的
patriotism	愛國心
patristic	教父的
patrol	巡邏
patrol wagon	警車
patrolman	巡視者
patron	贊助人
patron saint	保護聖徒
patronage	贊助
patroness	女性保護人
patronize	保護
patronymic	源于父名的
patten	木套鞋
patter	急速拍打聲
pattern	模範
patternless	無圖案的
patty	小餡餅
pattypan	面餅鍋
patulous	開展的
paucity	少數
Pauline	保羅的
paulownia	泡桐
paunch	腹部
pauper	貧民
pause	暫停
pavage	鋪築
pave	鋪設
pavement	路面
paver	鋪路工
pavilion	樓閣
paviour	鋪路工
pavonine	孔雀似的
paw	爪
pawky	狡猾的
pawl	棘爪
pawn	典當
pawn ticket	當票
pawnbroker	典當商
Pawnee	收當人
pawnshop	當鋪
pawpaw	番木瓜
pax	聖像牌
pay	薪資
pay bed	產油層
pay envelope	工資袋
pay packet	工資袋
pay scale	工資標準
payable	可付的
payback	報酬率
payback period	投資回收期
payday	發薪日
payee	收款人
payload	商務載重
paymaster	出納員
payment	付款
paynim	異教徒
payola	賄賂
payout	支出
payroll	工資名單
pb	的
PC card	卡
PCB	零用現金簿
PCMCIA	13 個人計算機存儲器卡國際協會
pct.	每百分
PCV	血細胞壓積
pd	鈀
pea	豌豆
pea-souper	黃色的濃霧
peace	和平
peace officer	治安官員
peaceable	和平的
peaceful	平靜的
peacekeeping	維護和平的
peacemaker	調解者
peacetime	平時時期
peach	桃子
peach blossom	桃花
peachick	幼孔雀
peachy	桃似的
peacock	孔雀
peacock blue	孔雀藍
peafowl	孔雀
peahen	雌孔雀
peak	山峰
peak load	最大負載
peaked	有帽舌的
peaky	有峰的
peanut	花生
peanut oil	花生油
pear	梨子
pear-shaped	梨子形的
pearl	珍珠
pearl barley	去皮大麥粒
pearl diver	潛水採珠人
Pearl Harbor	珍珠港
pearlescent	珠母般的
pearlite	珠光體
pearly	珍珠似的
peart	有精神的
peasant	農夫
peat	泥煤
peavey	尖頭搬鉤
pebble	小圓石
pecan	美洲山核桃
peccable	易犯罪的
peccadillo	輕罪
peccant	有罪的
peck	配克
pecker	會啄的鳥
peckerwood	啄木鳥
peckish	有點飢餓的
Pecksniffian	偽善的
pectin	果膠
pectoral	胸的
peculate	挪用
peculiar	奇特的
peculiarity	特質
peculiarly	特別
pecuniary	金錢的
pedagogic	教育學的
pedagogue	小學教師
pedagogy	教育學
pedal	踏板
pedalo	腳踏小遊船
pedantic	賣弄學問的
pedantry	假裝學者
peddle	挑賣
pederast	雞奸者
pederasty	雞奸
pedestal	支柱
pedestrian	行人
pedestrianize	徒步旅行
pedicab	三輪車
pedicel	蒂
pedicle	蒂
pediculicide	滅虱的
pediculosis	虱病
pedicure	腳治療
pedigree	血統
pediment	山形牆
pedipalp	腳須
pedo-	兒童
pedology	嬰兒學
pedometer	步數計
pedunculate	有花梗的
pee	便士
peek	偷看
peel	皮
peeler	警察
peelings	剝下的皮
peen	鎚頂
peep	一瞥
peeper	窺視者
peephole	窺視孔
peepul	菩提樹
peer	同等的人
peer review	同業互查
peer-to-peer	對等結構
peerage	貴族
peeress	貴族夫人
peerless	無比的
peeve	氣惱
peevish	易怒的
peewee	矮小的人
peg	釘
Pegasus	詩興
peignoir	婦女之浴袍
pejorative	貶損的
Pekinese	小獅子狗
Peking	北京
Peking man	北京人
pekoe	香紅茶
pelage	毛皮
pelagic	遠洋的
pelargonium	天竺葵
Pelasgian	佩拉斯吉人
pelerine	女用披肩
pelf	錢財
pelican	鵜鶘鳥
pell-mell	亂七八糟地
pellagra	培拉格病
pellet	顆粒狀物
pellicle	薄皮
pellitory	小白菊
pellucid	透明的
pelmet	門簾盒
pelt	投擲
peltate	盾狀的
Peltier effect	效應
peltry	生皮
pelvic	骨盆的
pelvic floor	骨盆底
pelvic girdle	骨盆帶
pelvimetry	骨盆測量法
pelvis	骨盆
pemmican	幹肉壓縮餅
pemphigoid	天皰瘡樣的
pemphigus	天皰瘡
pen	鋼筆
pen name	筆名
pen pal	筆友
