a	eɪ	-ā	ㄝㄧ	累加器
Noel	nəʊˈɛl	n-ə-oo-é-l	ㄋㄦㄡㄜㄌ	聖誕節
noetic	nəʊˈɛtɪk	n-ə-oo-é-t-i-k	ㄋㄦㄡㄜㄉㄧㄍ	智力的
nog	nɒg	n-o-g	ㄋㄛㄍ	木釘
noggin	ˈnɒgɪn	n-o-g-i-n	ㄋㄛㄍㄧㄋ	小杯
nogging	ˈnɒgɪŋ	n-o-g-i-ng	ㄋㄛㄍㄧㄥ	木架磚壁
nohow	ˈnəʊhaʊ	n-ə-oo-h-o-w	ㄋㄦㄡㄏㄚㄡ	絕不
noise	nɔɪz	n-o-ē-z	ㄋㄛㄧㄗ	噪音
noise pollution	nɔɪz pəˈluːʃən	n-o-ē-z- -p-ə-l-ū-sh-ə-n	ㄋㄛㄧㄗ ㄅㄦㄌㄨㄕㄣ	噪音污染
noiseless	ˈnɔɪzlɪs	n-o-ē-z-l-i-s	ㄋㄛㄧㄗㄌㄧㄙ	無聲的
noisome	ˈnɔɪsəm	n-o-ē-s-ə-m	ㄋㄛㄧㄙㄦㄇ	有害的
noisy	ˈnɔɪzi	n-o-ē-z-ē	ㄋㄛㄧㄗㄧ	嘈雜的
nolle prosequi	nolle prosequi	n-o-l-l-e -p-r-o-s-eq-ū-ē	ㄋㄛㄌㄌㄝ ㄅㄖㄛㄙㄝㄎㄨㄧ	撤回訴訟
nom de plume	nom diː pluːm	n-o-m- -d-ē- -p-l-ū-m	ㄋㄛㄇ ㄉㄧ ㄅㄌㄨㄇ	筆名
noma	noma	n-o-m-a	ㄋㄛㄇㄚ	走馬疳
nomadic	nəʊˈmædɪk	-n-ə-oo-m-a-d-i-k	ㄋㄦㄡㄇㄚㄉㄧㄍ	遊牧的
nomen	nomen	n-o-m-e-n	ㄋㄛㄇㄝㄋ	第二名字
nomenclature	nəʊˈmɛnkləʧə	n-ə-oo-m-é-n-k-l-ə-ch-ə	ㄋㄦㄡㄇㄜㄋㄍㄌㄦㄓㄦ	命名法
nominal	ˈnɒmɪnl	n-o-m-i-n-l	ㄋㄛㄇㄧㄋㄌ	名義上的
nominal account	ˈnɒmɪnl əˈkaʊnt	n-o-m-i-n-l- -ə-k-o-w-n-t	ㄋㄛㄇㄧㄋㄌ ㄦㄍㄚㄡㄋㄉ	名義帳目
nominal value	ˈnɒmɪnl ˈvæljuː	n-o-m-i-n-l- -v-a-l-yü	ㄋㄛㄇㄧㄋㄌ ㄈㄚㄌㄡㄨ	標稱值
nominate	ˈnɒmɪneɪt	n-o-m-i-n-ā-t	ㄋㄛㄇㄧㄋㄝㄧㄉ	提名
nomination	ˌnɒmɪˈneɪʃən	n-o-m-i-n-ā-sh-ə-n	ㄋㄛㄇㄧㄋㄝㄧㄕㄣ	提名
nominative	ˈnɒmɪnətɪv	n-o-m-i-n-ə-t-i-v	ㄋㄛㄇㄧㄋㄦㄉㄧㄈ	主格
nominee	ˌnɒmɪˈniː	n-o-m-i-n-ē	ㄋㄛㄇㄧㄋㄧ	被提名者
nomogram	nomogram	n-o-m-o-g-r-a-m	ㄋㄛㄇㄛㄍㄖㄚㄇ	列線圖
nomological	nomological	n-o-m-o-l-o-g-ē-ca-l	ㄋㄛㄇㄛㄌㄛㄍㄧㄕㄚㄌ	法律學的
nomothetic	nomothetic	n-o-m-o-t-h-e-t-ē-c	ㄋㄛㄇㄛㄉㄏㄝㄉㄧㄕ	立法的
non compos mentis	nɒn ˈkɒmpɒs mentis	-n-o-n- -k-o-m-p-o-s- -m-e-n-t-ē-s	ㄋㄛㄋ ㄍㄛㄇㄅㄛㄙ ㄇㄝㄋㄉㄧㄙ	精神不健全
non licet	nɒn licet	n-o-n- -l-ē-ce-t	ㄋㄛㄋ ㄌㄧㄕㄝㄉ	不準許的
non placet	nɒn ˈpleɪsɛt	n-o-n- -p-l-ā-s-é-t	ㄋㄛㄋ ㄅㄌㄝㄧㄙㄜㄉ	不批準
non possumus	nɒn possumus	n-o-n- -p-o-s-s-ū-m-ū-s	ㄋㄛㄋ ㄅㄛㄙㄙㄨㄇㄨㄙ	我們不能
non-	nɒn-	n-o-n	ㄋㄛㄋ-	非
non-acceptance	ˈnɒnəkˈsɛptəns	n-o-n-ə-k-s-é-p-t-ə-n-s	ㄋㄛㄋㄦㄍㄙㄜㄅㄉㄣㄙ	不接受
non-aggression	nɒn-əˈgrɛʃ(ə)n	n-o-n-ə-g-r-é-sh-ə--n	ㄋㄛㄋ-ㄦㄍㄖㄜㄕㄦㄋ	不侵犯
non-appearance	ˈnɒnəˈpɪərəns	n-o-n-ə-p-ē-ə-r-ə-n-s	ㄋㄛㄋㄦㄅㄧㄦㄖㄣㄙ	不出庭
non-attendance	ˈnɒnəˈtɛndəns	n-o-n-ə-t-é-n-d-ə-n-s	ㄋㄛㄋㄦㄉㄜㄋㄉㄣㄙ	未出席
non-commissioned	nɒn-kəˈmɪʃənd	n-o-n-k-ə-m-i-sh-ə-n-d	ㄋㄛㄋ-ㄍㄦㄇㄧㄕㄣㄉ	無委任狀的
non-committal	ˈnɒnkəˈmɪtl	n-o-n-k-ə-m-i-t-l	ㄋㄛㄋㄍㄦㄇㄧㄉㄌ	不置可否的
non-conductor	ˈnɒnkənˌdʌktə	n-o-n-k-ə-n-d-u-k-t-ə	ㄋㄛㄋㄍㄣㄉㄨㄍㄉㄦ	非導體
non-contentious	nɒn-kənˈtɛnʃəs	n-o-n-k-ə-n-t-é-n-sh-ə-s	ㄋㄛㄋ-ㄍㄣㄉㄜㄋㄕㄦㄙ	非訴訟的
non-delivery	nɒn-dɪˈlɪvəri	n-o-n-d-i-l-i-v-ə-r-ē	ㄋㄛㄋ-ㄉㄧㄌㄧㄈㄦㄖㄧ	無送貨
non-essential	ˈnɒnɪˈsɛnʃəl	n-o-n-i-s-é-n-sh-ə-l	ㄋㄛㄋㄧㄙㄜㄋㄕㄦㄌ	不需要
non-event	nɒn-ɪˈvɛnt	n-o-n-i-v-é-n-t	ㄋㄛㄋ-ㄧㄈㄜㄋㄉ	13 大肆宣傳而結果並未舉辦的事
non-flammable	nɒn-ˈflæməbl	n-o-n-f-l-a-m-ə-b-l	ㄋㄛㄋ-ㄈㄌㄚㄇㄦㄅㄌ	不易燃的
non-fulfilment	ˈnɒnfʊlˈfɪlmənt	n-o-n-f-oo-l-f-i-l-m-ə-n-t	ㄋㄛㄋㄈㄡㄌㄈㄧㄌㄇㄣㄉ	不履行
non-interference	ˈnɒnˌɪntəˈfɪərəns	n-o-n-i-n-t-ə-f-ē-ə-r-ə-n-s	ㄋㄛㄋㄧㄋㄉㄦㄈㄧㄦㄖㄣㄙ	不幹預
non-intervention	ˈnɒnˌɪntə(ː)ˈvɛnʃən	n-o-n-i-n-t-ə---v-é-n-sh-ə-n	ㄋㄛㄋㄧㄋㄉㄦㄈㄜㄋㄕㄣ	不幹涉
non-military	nɒn-ˈmɪlɪtəri	n-o-n-m-i-l-i-t-ə-r-ē	ㄋㄛㄋ-ㄇㄧㄌㄧㄉㄦㄖㄧ	非軍事的
non-negotiable	nɒn-nɪˈgəʊʃjəbl	n-o-n-n-i-g-ə-oo-sh-y-ə-b-l	ㄋㄛㄋ-ㄋㄧㄍㄦㄡㄕㄡㄦㄅㄌ	不可轉讓
non-nuclear	ˈnɒnˈnjuːklɪə	n-o-n-n-yü-k-l-ē-ə	ㄋㄛㄋㄋㄡㄨㄍㄌㄧㄦ	非核的
non-observance	ˈnɒnəbˈzɜːvəns	n-o-n-ə-b-z-û-v-ə-n-s	ㄋㄛㄋㄦㄅㄗㄦㄈㄣㄙ	不遵守
non-participating	nɒn-pɑːˈtɪsɪpeɪtɪŋ	n-o-n-p-ä-t-i-s-i-p-ā-t-i-ng	ㄋㄛㄋ-ㄅㄚㄉㄧㄙㄧㄅㄝㄧㄉㄧㄥ	不參加的
non-payment	ˈnɒnˈpeɪmənt	n-o-n-p-ā-m-ə-n-t	ㄋㄛㄋㄅㄝㄧㄇㄣㄉ	未付款
non-performance	nɒn-pəˈfɔːməns	n-o-n-p-ə-f-ô-m-ə-n-s	ㄋㄛㄋ-ㄅㄦㄈㄛㄇㄣㄙ	不履行
non-physical	nɒn-ˈfɪzɪkəl	n-o-n-f-i-z-i-k-ə-l	ㄋㄛㄋ-ㄈㄧㄗㄧㄍㄦㄌ	非實體的
non-productive	ˌnɒnprəˈdʌktɪv	n-o-n-p-r-ə-d-u-k-t-i-v	ㄋㄛㄋㄅㄖㄦㄉㄨㄍㄉㄧㄈ	非生產的
non-professional	nɒn-prəˈfɛʃənl	n-o-n-p-r-ə-f-é-sh-ə-n-l	ㄋㄛㄋ-ㄅㄖㄦㄈㄜㄕㄣㄌ	非專業性的
non-proliferation	ˈnɒnprəʊˌlɪfəˈreɪʃən	n-o-n-p-r-ə-oo-l-i-f-ə-r-ā-sh-ə-n	ㄋㄛㄋㄅㄖㄦㄡㄌㄧㄈㄦㄖㄝㄧㄕㄣ	不擴散
non-resident	ˈnɒnˈrɛzɪdənt	n-o-n-r-é-z-i-d-ə-n-t	ㄋㄛㄋㄖㄜㄗㄧㄉㄣㄉ	非居民
non-stick	nɒn-stɪk	n-o-n-s-t-i-k	ㄋㄛㄋ-ㄙㄉㄧㄍ	不粘鍋底的
non-stop	ˈnɒnˈstɒp	n-o-n-s-t-o-p	ㄋㄛㄋㄙㄉㄛㄅ	直達的
non-toxic	nɒn-ˈtɒksɪk	n-o-n-t-o-k-s-i-k	ㄋㄛㄋ-ㄉㄛㄍㄙㄧㄍ	無毒性的
non-transferable	nɒn-trænsˈfɜːrəbl	n-o-n-t-r-a-n-s-f-û-r-ə-b-l	ㄋㄛㄋ-ㄉㄖㄚㄋㄙㄈㄦㄖㄦㄅㄌ	不可轉讓的
nona-	nona-	n-o-n-a	ㄋㄛㄋㄚ-	九
nonage	ˈnəʊnɪʤ	n-ə-oo-n-i-y	ㄋㄦㄡㄋㄧㄓ	青年時期
nonagenarian	nonagenarian	n-o-n-a-g-e-n-a-r-ē-a-n	ㄋㄛㄋㄚㄍㄝㄋㄚㄖㄧㄢ	至
nonagon	nonagon	n-o-n-a-g-o-n	ㄋㄛㄋㄚㄍㄛㄋ	九邊形
nonane	nonane	n-o-n-a-n-e	ㄋㄛㄋㄢㄝ	壬烷
nonary	ˈnəʊnəri	-n-ə-oo-n-ə-r-ē	ㄋㄦㄡㄋㄦㄖㄧ	九進法的
nonce	nɒns	n-o-n-s	ㄋㄛㄋㄙ	特定場合
nonchalance	ˈnɒnʃələns	n-o-n-sh-ə-l-ə-n-s	ㄋㄛㄋㄕㄦㄌㄣㄙ	不關心
nonchalant	ˈnɒnʃələnt	n-o-n-sh-ə-l-ə-n-t	ㄋㄛㄋㄕㄦㄌㄣㄉ	不關心的
noncombustible	noncombustible	n-o-n-co-m-b-ū-s-t-ē-b-l-e	ㄋㄛㄋㄕㄛㄇㄅㄨㄙㄉㄧㄅㄌㄝ	不燃的
nonconformity	ˌnɒnkənˈfɔːmɪti	-n-o-n-k-ə-n-f-ô-m-i-t-ē	ㄋㄛㄋㄍㄣㄈㄛㄇㄧㄉㄧ	不適合
nondescript	ˈnɒndɪskrɪpt	n-o-n-d-i-s-k-r-i-p-t	ㄋㄛㄋㄉㄧㄙㄍㄖㄧㄅㄉ	莫可名狀的
nondisclosure	nondisclosure	n-o-n-d-ē-s-c-l-o-s-ū-r-e	ㄋㄛㄋㄉㄧㄙㄕㄌㄛㄙㄨㄖㄝ	不暴露
none	nʌn	-n-u-n	ㄋㄨㄋ	一點也不
nonentity	nɒˈnɛntɪti	n-o-n-é-n-t-i-t-ē	ㄋㄛㄋㄜㄋㄉㄧㄉㄧ	不存在
nonet	ˈnəʊnɛt	n-ə-oo-n-é-t	ㄋㄦㄡㄋㄜㄉ	九重奏曲
nonetheless	ˌnʌnðəˈlɛs	n-u-n-t-h-ə-l-é-s	ㄋㄨㄋㄘㄦㄌㄜㄙ	然而
nonfeasance	ˈnɒnˈfiːzəns	n-o-n-f-ē-z-ə-n-s	ㄋㄛㄋㄈㄧㄗㄣㄙ	不履行義務
nonjoinder	nonjoinder	n-o-n-y-o-ē-n-d-e-r-	ㄋㄛㄋㄡㄛㄧㄋㄉㄝㄖ	未參加訴訟
Nonjuror	Nonjuror	No-n-yü-r-o-r	Nㄛㄋㄡㄨㄖㄛㄖ	拒絕宣誓者
nonliving	nonliving	n-o-n-l-ē-v-ē-n-g	ㄋㄛㄋㄌㄧㄈㄧㄋㄍ	非生活的
nonofficial	nonofficial	n-o-n-o-f-f-ē-c-ē-a-l	ㄋㄛㄋㄛㄈㄈㄧㄕㄧㄚㄌ	非正式的
nonpareil	ˈnɒnpərɛl	n-o-n-p-ə-r-é-l	ㄋㄛㄋㄅㄦㄖㄜㄌ	無比的
nonplus	ˌnɒnˈplʌs	n-o-n-p-l-u-s	ㄋㄛㄋㄅㄌㄨㄙ	使困惑
nonplussed	ˌnɒnˈplʌst	n-o-n-p-l-u-s-t	ㄋㄛㄋㄅㄌㄨㄙㄉ	驚訝不止的
nonresistant	ˌnɒnrɪˈzɪstənt	n-o-n-r-i-z-i-s-t-ə-n-t	ㄋㄛㄋㄖㄧㄗㄧㄙㄉㄣㄉ	不抵抗的
nonsense	ˈnɒnsəns	n-o-n-s-ə-n-s	ㄋㄛㄋㄙㄣㄙ	無意義的事
nonsensical	nɒnˈsɛnsɪkəl	n-o-n-s-é-n-s-i-k-ə-l	ㄋㄛㄋㄙㄜㄋㄙㄧㄍㄦㄌ	無意義的
nonsuit	ˌnɒnˈsjuːt	n-o-n-s-yü-t	ㄋㄛㄋㄙㄡㄨㄉ	訴訟駁回
nonsupport	nonsupport	n-o-n-s-ū-p-p-o-r-t	ㄋㄛㄋㄙㄨㄅㄅㄛㄖㄉ	不支持
nonyl	nonyl	n-o-n-y-l	ㄋㄛㄋㄩㄌ	壬基
noodle	ˈnuːdl	n-ū-d-l	ㄋㄨㄉㄌ	面條
nook	nʊk	n-oo-k	ㄋㄡㄍ	角落
noon	nuːn	n-ū-n	ㄋㄨㄋ	正午
noonday	ˈnuːndeɪ	n-ū-n-d-ā	ㄋㄨㄋㄉㄝㄧ	正午
nooning	ˈnuːnɪŋ	n-ū-n-i-ng	ㄋㄨㄋㄧㄥ	中午
noontide	ˈnuːntaɪd	n-ū-n-t-ī-d	ㄋㄨㄋㄉㄚㄧㄉ	中午
noose	nuːs	n-ū-s	ㄋㄨㄙ	套索
nope	nəʊp	n-ə-oo-p	ㄋㄦㄡㄅ	不
nor	nɔː	n-ô	ㄋㄛ	也不
nor-	nɔː-	n-ô	ㄋㄛ-	降
nor'wester	ˌnɔːˈwɛstə	n-ô-w-é-s-t-ə	ㄋㄛㄨㄜㄙㄉㄦ	西北
Nordic	ˈnɔːdɪk	n-ô-d-i-k	ㄋㄛㄉㄧㄍ	北歐人
Norfolk	ˈnɔːfək	n-ô-f-ə-k	ㄋㄛㄈㄦㄍ	諾福克
nori	nori	n-o-r-ē	ㄋㄛㄖㄧ	海苔
norm	nɔːm	n-ô-m	ㄋㄛㄇ	基準
Norma	ˈnɔːmə	n-ô-m-ə	ㄋㄛㄇㄦ	矩尺
normal	ˈnɔːməl	n-ô-m-ə-l	ㄋㄛㄇㄦㄌ	常態
normal distribution	ˈnɔːməl ˌdɪstrɪˈbjuːʃən	n-ô-m-ə-l- -d-i-s-t-r-i-b-yü-sh-ə-n	ㄋㄛㄇㄦㄌ ㄉㄧㄙㄉㄖㄧㄅㄡㄨㄕㄣ	正態分布
normal form	ˈnɔːməl fɔːm	n-ô-m-ə-l- -f-ô-m	ㄋㄛㄇㄦㄌ ㄈㄛㄇ	範式
normal school	ˈnɔːməl skuːl	n-ô-m-ə-l- -s-k-ū-l	ㄋㄛㄇㄦㄌ ㄙㄍㄨㄌ	師範學校
normality	nɔːˈmælɪti	n-ô-m-a-l-i-t-ē	ㄋㄛㄇㄚㄌㄧㄉㄧ	常態
normalize	ˈnɔːməlaɪz	n-ô-m-ə-l-ī-z	ㄋㄛㄇㄦㄌㄚㄧㄗ	使常態化
normally	ˈnɔːməli	n-ô-m-ə-l-ē	ㄋㄛㄇㄦㄌㄧ	正規地
Normandy	ˈnɔːməndi	n-ô-m-ə-n-d-ē	ㄋㄛㄇㄣㄉㄧ	諾曼底
normative	ˈnɔːmətɪv	n-ô-m-ə-t-i-v	ㄋㄛㄇㄦㄉㄧㄈ	合乎規範的
normotensive	normotensive	n-o-r-m-o-t-e-n-s-ē-v-e	ㄋㄛㄖㄇㄛㄉㄝㄋㄙㄧㄈㄝ	正常血壓的
Norn	nɔːn	-n-ô-n	ㄋㄛㄋ	諾恩
north	nɔːθ	n-ô-th	ㄋㄛㄊ	北方
North America	nɔːθ əˈmɛrɪkə	n-ô-th- -ə-m-é-r-i-k-ə	ㄋㄛㄊ ㄦㄇㄜㄖㄧㄍㄦ	北美洲
North Carolina	nɔːθ kærəˈlaɪnə	n-ô-th- -k-a-r-ə-l-ī-n-ə	ㄋㄛㄊ ㄍㄚㄖㄦㄌㄚㄧㄋㄦ	北卡羅來納
North Dakota	nɔːθ dəˈkəʊtə	n-ô-th- -d-ə-k-ə-oo-t-ə	ㄋㄛㄊ ㄉㄦㄍㄦㄡㄉㄦ	北達科地
North Sea	nɔːθ siː	n-ô-th- -s-ē	ㄋㄛㄊ ㄙㄧ	北海
northbound	northbound	n-o-r-t-h-b-o-ū-n-d	ㄋㄛㄖㄉㄏㄅㄡㄋㄉ	北行的
Northeast	ˌnɔːθˈiːst	n-ô-th-ē-s-t	ㄋㄛㄊㄧㄙㄉ	東北
northeaster	ˌnɔːθˈiːstə	n-ô-th-ē-s-t-ə	ㄋㄛㄊㄧㄙㄉㄦ	東北大風
northerly	ˈnɔːðəli	n-ô-t-h-ə-l-ē	ㄋㄛㄘㄦㄌㄧ	北方的
northern	ˈnɔːðən	n-ô-t-h-ə-n	ㄋㄛㄘㄣ	北方人
Northern blot	ˈnɔːðən blɒt	n-ô-t-h-ə-n- -b-l-o-t	ㄋㄛㄘㄣ ㄅㄌㄛㄉ	印蹟
northerner	ˈnɔːðənə	n-ô-t-h-ə-n-ə	ㄋㄛㄘㄣㄦ	北方人
northing	ˈnɔːθɪŋ	n-ô-th-i-ng	ㄋㄛㄊㄧㄥ	北向緯度差
northland	ˈnɔːθlənd	n-ô-th-l-ə-n-d	ㄋㄛㄊㄌㄣㄉ	北國
northward	ˈnɔːθwəd	n-ô-th-w-ə-d	ㄋㄛㄊㄨㄦㄉ	北方
northwester	ˌnɔːθˈwɛstə	n-ô-th-w-é-s-t-ə	ㄋㄛㄊㄨㄜㄙㄉㄦ	西北大風
Norway	ˈnɔːweɪ	n-ô-w-ā	ㄋㄛㄨㄝㄧ	挪威
Norway rat	ˈnɔːweɪ ræt	n-ô-w-ā- -r-a-t	ㄋㄛㄨㄝㄧ ㄖㄚㄉ	棕鼠
Norwegian	nɔːˈwiːʤən	n-ô-w-ē-y-ə-n	ㄋㄛㄨㄧㄓㄣ	挪威人
nose	nəʊz	n-ə-oo-z	ㄋㄦㄡㄗ	鼻子
nosebag	ˈnəʊzbæg	n-ə-oo-z-b-a-g	ㄋㄦㄡㄗㄅㄚㄍ	草料袋
noseband	ˈnəəzbænd	n-ə-ə-z-b-a-n-d	ㄋㄦㄦㄗㄅㄚㄋㄉ	鼻羈
nosebleed	ˈnəʊzbliːd	n-ə-oo-z-b-l-ē-d	ㄋㄦㄡㄗㄅㄌㄧㄉ	鼻出血
nosedive	ˈnəʊzdaɪv	n-ə-oo-z-d-ī-v	ㄋㄦㄡㄗㄉㄚㄧㄈ	俯衝
nosegay	ˈnəʊzgeɪ	n-ə-oo-z-g-ā	ㄋㄦㄡㄗㄍㄝㄧ	花束
nosema	nosema	n-o-s-e-m-a	ㄋㄛㄙㄝㄇㄚ	小孢子蟲屬
nosepiece	ˈnəʊzpiːs	-n-ə-oo-z-p-ē-s	ㄋㄦㄡㄗㄅㄧㄙ	鼻羈
nosh	nosh	n-o-s-h	ㄋㄛㄙㄏ	小吃
nosocomial	nosocomial	n-o-s-oco-m-ē-a-l	ㄋㄛㄙㄛㄕㄛㄇㄧㄚㄌ	醫院的
nosode	nosode	n-o-s-o-d-e	ㄋㄛㄙㄛㄉㄝ	病質藥
nosography	nosography	-n-o-s-o-g-r-a-p-h-y	ㄋㄛㄙㄛㄍㄖㄚㄅㄏㄩ	病情學
nosology	nəʊˈsɒləʤi	-n-ə-oo-s-o-l-ə-y-ē	ㄋㄦㄡㄙㄛㄌㄦㄓㄧ	疾病分類學
nostalgia	nɒstˈælʤɪə	n-o-s-t-a-l-y-ē-ə	ㄋㄛㄙㄉㄚㄌㄓㄧㄦ	鄉愁
nostalgic	nɒstˈælʤɪk	n-o-s-t-a-l-y-i-k	ㄋㄛㄙㄉㄚㄌㄓㄧㄍ	鄉愁的
nostoc	nostoc	n-o-s-t-oc	ㄋㄛㄙㄉㄛㄕ	念珠藻屬
nostril	ˈnɒstrɪl	-n-o-s-t-r-i-l	ㄋㄛㄙㄉㄖㄧㄌ	鼻孔
nostro account	nostro əˈkaʊnt	n-o-s-t-r-o -ə-k-o-w-n-t	ㄋㄛㄙㄉㄖㄛ ㄦㄍㄚㄡㄋㄉ	往
nostrum	ˈnɒstrəm	n-o-s-t-r-ə-m	ㄋㄛㄙㄉㄖㄦㄇ	萬能藥
nosy	ˈnəʊzi	n-ə-oo-z-ē	ㄋㄦㄡㄗㄧ	大鼻子的
not	nɒt	n-o-t	ㄋㄛㄉ	不
nota bene	nota bene	n-o-t-a -b-e-n-e	ㄋㄛㄉㄚ ㄅㄝㄋㄝ	注意
notability	ˌnəʊtəˈbɪlɪti	-n-ə-oo-t-ə-b-i-l-i-t-ē	ㄋㄦㄡㄉㄦㄅㄧㄌㄧㄉㄧ	顯著
notable	ˈnəʊtəbl	n-ə-oo-t-ə-b-l	ㄋㄦㄡㄉㄦㄅㄌ	著名人士
notably	ˈnəʊtəbli	n-ə-oo-t-ə-b-l-ē	ㄋㄦㄡㄉㄦㄅㄌㄧ	顯著地
notarize	ˈnəʊtəraɪz	n-ə-oo-t-ə-r-ī-z	ㄋㄦㄡㄉㄦㄖㄚㄧㄗ	證明
notary	ˈnəʊtəri	n-ə-oo-t-ə-r-ē	ㄋㄦㄡㄉㄦㄖㄧ	公證人
notation	nəʊˈteɪʃən	n-ə-oo-t-ā-sh-ə-n	ㄋㄦㄡㄉㄝㄧㄕㄣ	記號
notch	nɒʧ	n-o-ch	ㄋㄛㄓ	刻痕
notch effect	nɒʧ ɪˈfɛkt	n-o-ch- -i-f-é-k-t	ㄋㄛㄓ ㄧㄈㄜㄍㄉ	缺口效應
notch filter	nɒʧ ˈfɪltə	n-o-ch- -f-i-l-t-ə	ㄋㄛㄓ ㄈㄧㄌㄉㄦ	凹口濾波器
note	nəʊt	n-ə-oo-t	ㄋㄦㄡㄉ	筆記
notebook	ˈnəʊtbʊk	n-ə-oo-t-b-oo-k	ㄋㄦㄡㄉㄅㄡㄍ	筆記本
notecase	ˈnəʊtkeɪs	n-ə-oo-t-k-ā-s	ㄋㄦㄡㄉㄍㄝㄧㄙ	皮夾子
noted	ˈnəʊtɪd	n-ə-oo-t-i-d	ㄋㄦㄡㄉㄧㄉ	著名的
notelet	notelet	n-o-t-e-l-e-t	ㄋㄛㄉㄝㄌㄝㄉ	短柬
notepad	ˈnəʊtˌpæd	n-ə-oo-t-p-a-d	ㄋㄦㄡㄉㄅㄚㄉ	記事本
notepaper	ˈnəʊtˌpeɪpə	n-ə-oo-t-p-ā-p-ə	ㄋㄦㄡㄉㄅㄝㄧㄅㄦ	信紙
noteworthy	ˈnɛʊtˌwɜːði	n-é-oo-t-w-û-t-h-ē	ㄋㄜㄡㄉㄨㄦㄘㄧ	值得注目的
nothing	ˈnʌθɪŋ	n-u-th-i-ng	ㄋㄨㄊㄧㄥ	無
nothingness	ˈnʌθɪŋnɪs	n-u-th-i-ng-n-i-s	ㄋㄨㄊㄧㄥㄋㄧㄙ	無
notice	ˈnəʊtɪs	n-ə-oo-t-i-s	ㄋㄦㄡㄉㄧㄙ	注意
noticeable	ˈnəʊtɪsəbl	n-ə-oo-t-i-s-ə-b-l	ㄋㄦㄡㄉㄧㄙㄦㄅㄌ	顯而易見的
notifiable	ˈnəʊtɪfaɪəbl	n-ə-oo-t-i-f-ī-ə-b-l	ㄋㄦㄡㄉㄧㄈㄚㄧㄦㄅㄌ	須申報的
notification	ˌnəʊtɪfɪˈkeɪʃən	n-ə-oo-t-i-f-i-k-ā-sh-ə-n	ㄋㄦㄡㄉㄧㄈㄧㄍㄝㄧㄕㄣ	通知
notify	ˈnəʊtɪfaɪ	n-ə-oo-t-i-f-ī	ㄋㄦㄡㄉㄧㄈㄚㄧ	通知
notion	ˈnəʊʃən	n-ə-oo-sh-ə-n	ㄋㄦㄡㄕㄣ	概念
notional	ˈnəʊʃənl	n-ə-oo-sh-ə-n-l	ㄋㄦㄡㄕㄣㄌ	概念的
notochord	notochord	n-o-t-oc-h-o-r-d	ㄋㄛㄉㄛㄕㄏㄛㄖㄉ	脊索
notoriety	ˌnəʊtəˈraɪəti	n-ə-oo-t-ə-r-ī-ə-t-ē	ㄋㄦㄡㄉㄦㄖㄚㄧㄦㄉㄧ	惡名
notorious	nəʊˈtɔːrɪəs	n-ə-oo-t-ô-r-ē-ə-s	ㄋㄦㄡㄉㄛㄖㄧㄦㄙ	聲名狼藉的
Nottingham	ˈnɒtɪŋəm	n-o-t-i-ng-ə-m	ㄋㄛㄉㄧㄥㄦㄇ	諾丁漢郡
notum	notum	n-o-t-ū-m	ㄋㄛㄉㄨㄇ	昆蟲的背板
notwithstanding	ˌnɒtwɪθˈstændɪŋ	n-o-t-w-i-th-s-t-a-n-d-i-ng	ㄋㄛㄉㄨㄧㄊㄙㄉㄚㄋㄉㄧㄥ	雖然
nougat	ˈnuːgɑː	n-ū-g-ä	ㄋㄨㄍㄚ	牛軋糖
nought	nɔːt	n-ô-t	ㄋㄛㄉ	沒有
noumenon	noumenon	n-o-ū-m-e-n-o-n	ㄋㄡㄇㄝㄋㄛㄋ	本體
noun	naʊn	n-o-w-n	ㄋㄚㄡㄋ	名詞
noun phrase	naʊn freɪz	n-o-w-n- -f-r-ā-z	ㄋㄚㄡㄋ ㄈㄖㄝㄧㄗ	名詞短語
nourish	ˈnʌrɪʃ	n-u-r-i-sh	ㄋㄨㄖㄧㄕ	滋養
nourishing	ˈnʌrɪʃɪŋ	n-u-r-i-sh-i-ng	ㄋㄨㄖㄧㄕㄧㄥ	有營養的
nourishment	ˈnʌrɪʃmənt	n-u-r-i-sh-m-ə-n-t	ㄋㄨㄖㄧㄕㄇㄣㄉ	滋養品
nous	naʊs	n-o-w-s-	ㄋㄚㄡㄙ	精神
Nov.	Nov.	No-v-.	Nㄛㄈ.	十一月
nova	ˈnəʊvə	-n-ə-oo-v-ə	ㄋㄦㄡㄈㄦ	新星
novation	nəʊˈveɪʃən	n-ə-oo-v-ā-sh-ə-n	ㄋㄦㄡㄈㄝㄧㄕㄣ	更新
novel	ˈnɒvəl	n-o-v-ə-l	ㄋㄛㄈㄦㄌ	小說
novelette	ˌnɒvəˈlɛt	n-o-v-ə-l-é-t	ㄋㄛㄈㄦㄌㄜㄉ	中篇小說
novelist	ˈnɒvəlɪst	n-o-v-ə-l-i-s-t	ㄋㄛㄈㄦㄌㄧㄙㄉ	小說家
novelistic	novelistic	n-o-v-e-l-ē-s-t-ē-c	ㄋㄛㄈㄝㄌㄧㄙㄉㄧㄕ	小說的
novelize	ˈnɒvəlaɪz	-n-o-v-ə-l-ī-z	ㄋㄛㄈㄦㄌㄚㄧㄗ	使小說化
