ກ	A	k
ລົ້ມປ່ວຍ	Fall ill	lompwny
ລົມປາກ	Mouth	lompaak
ລົມພະຍຸ	Storm	lomphanyu
ລົ້ມລົງ	Fall down	lomlong
ລົ້ມເລີກ	Cancel	lomeliik
ລົມເໜືອ^ເອີຍ	North wind^oh	lomehnyy`^e`iiny
ລົ້ມຫາຍ	Failed	lomhaany
ລົມຫາຍໃຈ	Breath	lomhaanyaych
ລົມຮ້ອນ	Hot wind	lom`n
ລົມແຮງ	Strong wind	lomeing
ລ້ຽງ	Raise	lnyng
ລ້ຽງ^ງົວ	Raising cows	lnyng^ngow
ລ້ຽງ^ສັດ	Raising animals	lnyng^sd
ລ້ຽງ^ດູແລ	To raise, to take care of	lnyng^duueil
ລ້ຽງ^ລູກ	Raising children	lnyng^luuk
ລ້ຽງ^ໄວ້	Raised	lnyng^aiw
ລ້ຽງແກະ	Sheep raising	lnyngeika
ລ້ຽງສັດ	Raising animals	lnyngsd
ລ້ຽງຊີບ	Make a living	lnyngsiib
ລ້ຽງດູ	Nurture	lnyngduu
ລ້ຽງທ້ອງ	To feed the baby	lnyngth`ng
ລຽນ	Copy	lnyn
ລຽນຕິດ	Repeat	lnynhid
ລຽນແຖວ	Line up	lnyneithw
ລຽນແຖວກັນ	Line up	lnyneithwkn
ລຽນໄວ້	Put it in order	lnynaiw
ລ່ຽນໄຫລ	Flowing	lnynaihl
ລຽບ	Smooth	lnyb
ລຽບຕາມ	Along	lnybhaam
ລ້ຽວ	Turn	lnyw
ລ້ຽວ^ລົດ	Turn the car.	lnyw^lod
ລ້ຽວ^ລົດມ້າ	Turn around, horse-drawn carriage	lnyw^lodmaa
ລ້ຽວເຂົ້າ	Turn in	lnywekhoaa
ເລກ	Number	elk
ເລ້ກົນ	Trick	elkon
ເລຂາ	Secretary	elkhaa
ເລຂາທິການ	Secretary	elkhaathikaan
ເລຍ	Lick	elny
ເລຍ^ກິນ	Lick, eat	elny^kin
ເລຍ^ເລືອດ	Licking blood	elny^elyy`d
ເລຕູຊີມ	Lettuce	elhuusiim
ເລບານອນ	Lebanon	elbaan`n
ເລບານອນ^ເອີຍ	Lebanon^yes	elbaan`n^e`iiny
ເລບານາ	Lebanon	elbaanaa
ເລບາໂອດ	Lebaoth	elbaao`d
ເລມູເອນ	Lemuel	elmuue`n
ເລມູເອນ^ເອີຍ	Lemuel,	elmuue`n^e`iiny
ເລວເສິກ	Military training	elwesik
ເລວີ	Levi	elwii
ເລວີ^ເອີຍ	Levi^oh	elwii^e`iiny
ເລວີອາທັນ	Leviathan	elwii`aathn
ເລວີອາທານ	Leviathan	elwii`aathaan
ເລ່ຫລ່ຽມ	Triangle	elhlnym
ເລ້ຫລ່ຽມ	Triangle	elhlnym
ເລອາ	Leah	el`aa
ເລອາຟະຣາ^ເອີຍ	Leafra^	el`aafaraa^e`iiny
ເລອຸມມີມ	Leummim	el`ummiim
ເລຮາບ	Lehab	elaab
ເລຮີ	Lehi	elii
ເລັກນ້ອຍ	A little bit	elkn`ny
ເລັງ	Cancer	elng
ເລັ່ງ	Speed ​​up	elng
ເລັ່ງລັດ	Expedited	elngld
ເລັບ	Nail	elb
ເລັບຕີນ	Toenail	elbhiin
ເລັມ	Lem	elm
ເລາະ	Walk	elaaa
ເລາະ^ຫລິ້ນ	Play around	elaaa^hlin
ເລາະຊົມ	Browse	elaaasom
ເລາະໄປ	Wander around	elaaaaip
ເລາະມາ	Come here.	elaaamaa
ເລາະລຽບ	Walk smoothly	elaaalnyb
ເລາະຫາ	Search for	elaaahaa
ເລິກ	Deep	elik
ເລິກ^ກວ້າງ	Deep^wide	elik^kwaang
ເລິກກວ່າ	Deeper	elikkwaa
ເລິກສຸດ	Deepest	eliksud
ເລິກສຸດ^ເອີຍ	Very deep.	eliksud^e`iiny
ເລິກເຊິ່ງ	Deep	elikesing
ເລິກໂພດ	Too deep	elikophd
ເລິກລັບ	Secret	eliklb
ເລິກລົງ	Deeper	eliklong
ເລິກແລບ	Deep and profound	elikeilb
ເລີກ	Quit	eliik
ເລີກ^ໜີ້	Cancel the debt.	eliik^hnii
ເລີຍ	Okay	eliiny
ເລີຍ^ເທາະ	Okay, okay.	eliiny^ethaaa
ເລີຍ^ບໍ	Okay, okay?	eliiny^bM
ເລີຍໆ	Absolutely.	eliiny+
ເລີຍຄາ	How much?	eliinykhaa
ເລີຍສິ້ນ	It's over.	eliinysin
ເລີຍບໍ	Is that right?	eliinybM
ເລີດ	Perfect	eliid
ເລີດ^ປະເສີດ	Excellent^wonderful	eliid^paesiid
ເລີດລໍ້າ	Excellent	eliidlMaa
ເລີ່ມ	Start	eliim
ເລີ້ມ	Start	eliim
ເລີ່ມຂຶ້ນ	Start up	eliimkhyn
ເລີ່ມຕົ້ນ	Start	eliimhon
ເລືອ	Go	elyy`
ເລືອກ	Choose	elyy`k
ເລືອກ^ໄປ	Select^Go	elyy`k^aip
ເລືອກ||ຂອງ	Choose ||of	elyy`k||kh`ng
ເລືອກ||ອັກຄະສາວົກ	Choose||Apostle	elyy`k||`kkhasaawok
ເລືອກ||ເອົາ	Choose||Take	elyy`k||e`oaa
ເລືອກສັນ	Choose a date	elyy`ksn
ເລືອກເຟັ້ນ	Choose carefully	elyy`kefn
ເລືອກໄວ້	Select	elyy`kaiw
ເລືອກໄວ້^ນັ້ນ	Select that.	elyy`kaiw^nn
ເລືອກເອົາ	Choose	elyy`ke`oaa
ເລືອຄານ	Creeping	elyy`khaan
ເລື່ອງ	Story	elyy`ng
ເລື່ອງ^ດີ	Good news.	elyy`ng^dii
ເລື່ອງ^ບໍ່^ດີ	The story is not good.	elyy`ng^bM^dii
ເລື່ອງ||ການ	Story ||The	elyy`ng||kaan
ເລື່ອງໃດ	What is it?	elyy`ngayd
ເລື່ອງໃດ^ເລື່ອງໜຶ່ງ	What story?	elyy`ngayd^elyy`nghnyng
ເລື່ອງນັ້ນ	That story	elyy`ngnn
ເລື່ອງນີ້	This story	elyy`ngnii
ເລື່ອງລາວ	His story	elyy`nglaaw
ເລື່ອງລື	Rumor	elyy`nglyy
ເລື່ອງໜຶ່ງ	One story	elyy`nghnyng
ເລື່ອຍ	Saw	elyy`ny
ເລື້ອຍ	Often	elyy`ny
ເລື່ອຍ^ໄມ້	Sawdust^wood	elyy`ny^aim
ເລື້ອຍໆ	Often	elyy`ny+
ເລື້ອຍໄປ	Often	elyy`nyaip
ເລື້ອຍມາ	Often	elyy`nymaa
ເລືອດ	Blood	elyy`d
ເລືອດ^ແກະ	Blood^sheep	elyy`d^eika
ເລືອດ^ງົວ	Blood^cow	elyy`d^ngow
ເລືອດ^ສັດ	Blood^animal	elyy`d^sd
ເລືອດ^ແບ້	Goat's blood	elyy`d^eib
ເລືອດຕົກ	Bleeding	elyy`dhok
ເລືອດເນື້ອ	Blood	elyy`denyy`
ເລືອດເນື້ອ^ເຊື້ອໄຂ	Blood, blood cells, blood cells	elyy`denyy`^esyy`aikh
ເລືອດເນື້ອເຊື້ອໄຂ	Blood, blood cells, and blood products	elyy`denyy`esyy`aikh
ເລື່ອນ	Move	elyy`n
ເລື່ອນ^ຊັ້ນ^ສູງ	Move up^level^high	elyy`n^sn^suung
ເລື່ອນຊັ້ນ	Promote	elyy`nsn
ເລື່ອນລອຍ	Floating	elyy`nl`ny
ເລົາ	We	eloaa
ເລົ່າ	Tell	eloaa
ເລົ້າ	Bar	eloaa
ເລົ້າເຂົ້າ	Rice field	eloaaekhoaa
ເລົາຄີງ	Same as	eloaakhiing
ເລົ່າລື	Rumor	eloaalyy
ເລົ່າລືກັນ	Talk to each other	eloaalyykn
ເລົ້າໂລມ	Comfort	eloaaolm
ເລົ້າໂລມ^ໃຈ	Comforting	eloaaolm^aych
ເລົ້າໂລມ^ໃຈກັນ	Comfort each other.	eloaaolm^aychkn
ແລ	Take care	eil
ແລກ	Exchange	eilk
ແລກປ່ຽນ	Exchange	eilkpnyn
ແລງ	Evening	eilng
ແລ້ງ	Dry	eilng
ແລ່ນ	Run	eiln
ແລ່ນ^ໄປ	Run away.	eiln^aip
ແລ່ນ^ມາ	Run.	eiln^maa
ແລ່ນ^ໄວ	Run fast.	eiln^aiw
ແລ່ນແຂ່ງ	Run a race	eilneikhng
ແລ່ນຕາມ	Run after	eilnhaam
ແລ່ນພ່າຍ^ໜີໄປ	Run away.	eilnphaany^hniiaip
ແລບ^ລີ້ນ	Tongue twister	eilb^liin
ແລເບິ່ງ	Take care.	eilebing
ແລມາ	Come here	eilmaa
ແລ້ວ	Okay	eilw
ແລ້ວ^ນັ້ນ	Okay, then.	eilw^nn
ແລ້ວໆ	Okay.	eilw+
ແລ້ວເສິກ	Then the war	eilwesik
ແລ້ວເດ	So what?	eilwed
ແລ້ວໃດ	So what?	eilwayd
ແລ້ວໜໍ	Okay, okay?	eilwhnM
ແລເຫັນ	Take care	eilehn
ແລະ	and	eila
ແລະ^ຄຳທຳນວາຍ	And the prophecy	eila^khamthamnwaany
ແລະ^ມະນີໂຊດ	And^Manisot	eila^maniiosd
ແລະ||ການ	And||The	eila||kaan
ແລະ||ຄຳ	And||word	eila||kham
ແລະ||ພຣະ	And || God	eila||phra
ແລະຄຳ	And gold	eilakham
ແລະຊົງຍິ່ງໃຫຍ່	And great.	eilasongnyingayhny
ແລະຖວາຍ	and offer	eilathwaany
ແລະມານຊາຕານ	And Satan	eilamaansaahaan
ໂລ່	Shield	ol
ໂລ້	Tile	ol
ໂລ້^ຄຳ	Gold plate	ol^kham
ໂລ້^ຕ້ານທານ	Tiles^Resistant	ol^haanthaan
ໂລ້^ປ້ອງກັນ	Shield	ol^p`ngkn
ໂລກ	World	olk
ໂລກ^ມະນຸດ	World^Humanity	olk^manud
ໂລກ^ເອີຍ	World, oh	olk^e`iiny
ໂລກນີ້	This world	olknii
ໂລກໜ້າ	The next world	olkhnaa
ໂລກາ	World	olkaa
ໂລ້ກຳບັງ	Shield	olkambng
ໂລງສົບ	Coffin	olngsob
ໂລດ	Lot	old
ໂລດເຕັ້ນ	Dance	oldehn
ໂລເດບາ	Lodebar	oledbaa
ໂລຕັນ	Lawton	olhn
ໂລບ	Greed	olb
ໂລບມາກ	Greedy	olbmaak
ໂລບມາກ^ໂລພາ	Greedy^greedy	olbmaak^olphaa
ໂລບເອົາ	Greedy	olbe`oaa
ໂລພາ	Greed	olphaa
ໂລເລ	Lola	olel
ໂລຫະ	Metal	olha
ໂລອີ	Loei	ol`ii
ໄລ	Lai	ail
ໄລ່	Chase	ail
ໄລ່^ຄຸບ	Chase^Kup	ail^khub
ໄລ່^ຈັບ	Chase, catch	ail^chb
ໄລ່^ທັນ	Chase	ail^thn
ໄລກອນ	Lion	ailk`n
ໄລຄັດ	Laika	ailkhd
ໄລຊາ^ເອີຍ	Lisa, yes.	ailsaa^e`iiny
ໄລຍະ	Period	ailnya
ໄລຍະ^ໄກ	Far away	ailnya^aik
ໄລຍະ^ທາງ	Distance	ailnya^thaang
ໄລ່ຕາມ	Chase after	ailhaam
ໄລ່ຕາມ^ທັນ	Follow up.	ailhaam^thn
ໄລປະຕູ	Bolt	ailpahuu
ໄລພິດ	Poison	ailphid
ວ່ອງ^ໄວ	Quick	w`ng^aiw
ວ່ອງໄວ	Quick	w`ngaiw
ວ່ອງໄວ^ເອີຍ	Quick, yes.	w`ngaiw^e`iiny
ວອດວາຍ	Water	w`dwaany
ວອນ	Pray	w`n
ວອນຂໍ	Beg	w`nkhM
ວັງ	Palace	wng
ວັງຊາ	Palace	wngsaa
ວັງລະດູ^ໜາວ	Winter Palace	wngladuu^hnaaw
ວັດ	Temple	wd
ວັດສະດຸ	Materials	wdsadu
ວັດຕ່າງໆ	Temples	wdhaang+
ວັດຖຸ	Object	wdthu
ວັດແທກ	Measure	wdeithk
ວັນ	Day	wn
ວັນ^ກຳນົດ	Due date	wn^kamnod
ວັນ^ກິນລ້ຽງ	Feast day	wn^kinlnyng
ວັນ^ສະຫລອງ	Celebration	wn^sahl`ng
ວັນ^ສັກສິດ	Holy day	wn^sksid
ວັນ^ຊະບາໂຕ	Sabbath	wn^sabaaoh
ວັນ^ຕໍ່ໄປ	Next day	wn^hMaip
ວັນ^ຕະຫລອດ	All day long	wn^hahl`d
ວັນ^ຕາຍ	Day of death	wn^haany
ວັນ^ທັງຫຼາຍ	All days	wn^thnghlaany
ວັນ^ນີ້	Today	wn^nii
ວັນ^ບໍຣິສູດ	Memorial Day	wn^bMrisuud
ວັນຄືນ	Last night	wnkhyyn
ວັນສຸກ	Friday	wnsuk
ວັນຊະບາໂຕ	Sabbath	wnsabaaoh
ວັນດຽວ	One day	wndnyw
ວັນໃດ	What day?	wnayd
ວັນນະ	Literature	wnna
ວັນນະຄະດີ	Literature	wnnakhadii
ວັນນັ້ນ	That day	wnnn
ວັນນີ້	Today	wnnii
ວັນລະ	Every day	wnla
ວັນໜຶ່ງ	One day	wnhnyng
ວາ	Wow	waa
ວ່າ	That	waa
ວ່າ||ເປໂຕ	That||Peter	waa||epoh
ວ່າກ່າວ	That said	waakaaw
ວ່າຄວາມ^ກັນ	That's right.	waakhwaam^kn
ວາງ	Place	waang
ວ່າງ	Loose	waang
ວາງ^ໃສ່	Put^on	waang^ays
ວ່າງ^ເປົ່າ	Empty	waang^epoaa
ວາງ^ແຜນການ	Make a plan.	waang^eiphnkaan
ວາງ^ແຜນການ^ລັບ	Make a secret plan	waang^eiphnkaan^lb
ວາງ^ລີ້	Hide	waang^lii
ວາງ^ໄວ້	Put it away.	waang^aiw
ວາງ^ໄວ້ນັ້ນ	Put it there.	waang^aiwnn
ວາງ^ອຸບາຍ	Put a trick	waang^`ubaany
ວ່າງຄົນ	Empty	waangkhon
ວາງໃຈ	Trust	waangaych
ວາງໃຈເຊື່ອ	Trust	waangaychesyy`
ວ່າງເປົ່າ	Empty	waangepoaa
ວາງແຜນ	Plan	waangeiphn
ວາງແຜນ^ຮ້າຍ	Plan evil.	waangeiphn^aany
ວາງມື	Place your hand	waangmyy
ວາງລົງ	Put down	waanglong
ວາງໄວ້	Put it away	waangaiw
ວາຈາ	Speech	waachaa
ວາຈີ	Word	waachii
ວາຊະຕີ	Vashti	waasahii
ວາຍຊີບ	Suicide	waanysiib
ວາຍວອດ	Whitewater	waanyw`d
ວາດພາບ^ເອົາ	Draw a picture.	waadphaab^e`oaa
ວານ	Yesterday	waan
ວານນີ້	Yesterday	waannii
ວານີຢາ	Vaniya	waaniiyaa
ວາລະ	Agenda	waala
ວິງວອນ	Request	wingw`n
ວິ້ງວອນ	Beg	wingw`n
ວິເສດ	Special	wiesd
ວິໂສ	Viso	wios
ວິໄສ	Habit	wiais
ວິຊາ	Subject	wisaa
ວິຊາ^ອາຄົມ	Subject: Astrology	wisaa^`aakhom
ວິຊາ^ອາຊີບ	Profession	wisaa^`aasiib
ວິຊາການ	Technical	wisaakaan
ວິດຖ່າຍ	Toilet	widthaany
ວິຕົກ	Disaster	wihok
ວິຕົກ^ກັງວົນ	Anxiety	wihok^kngwon
ວິຖີ	Way	withii
ວິຖີ^ທາງ	Way^way	withii^thaang
ວິທີ	How	withii
ວິທີ^ດຽວກັນ	Same way	withii^dnywkn
ວິທີ^ນີ້	This way	withii^nii
ວິທີການ	How to	withiikaan
ວິທີຂຽນ	How to write	withiikhnyn
ວິທີທາງ	Way	withiithaang
ວິນ^ຫົວ	Dizziness	win^how
ວິນຍານ	Spirit	winnyaan
ວິນຍານ^ຂອງ^ພຣະອົງ	His Spirit	winnyaan^kh`ng^phra`ong
ວິນຍານ^ຊົ່ວ	Evil spirit	winnyaan^sow
ວິນຍານ^ຊົ່ວຮ້າຍ	Evil spirits	winnyaan^sowaany
ວິນຍານຂອງ^ກະສັດ	The spirit of the king	winnyaankh`ng^kasd
ວິນຍານຈິດ	Spirituality	winnyaanchid
ວິນໂລ	Willow	winol
ວິນວຽນ	Wind and wind	winwnyn
ວິໄນ	Discipline	wiain
ວິບັດ	Disaster	wibd
ວິລະກຳ	Heroic	wilakam
ວິລະຊົນ	Hero	wilason
ວິລະບູລຸດ	Hero	wilabuulud
ວິໄລ	Vilay	wiail
ວິວ	View	wiw
ວິວາດ	Conflict	wiwaad
ວິວາດ^ຜິດຖຽງ	Quarrel	wiwaad^phidthnyng
ວິຫານ	Temple	wihaan
ວິຫານ^ນີ້	This temple	wihaan^nii
ວີວ	View	wiiw
ວຸ້ນວາຍ	Confusion	wunwaany
ວຸ້ນວາຍ^ໃຈ	Troubled mind	wunwaany^aych
ວຸ້ນວາຍ^ໄປ	Go away.	wunwaany^aip
ວຸ້ນວາຍ^ເລີຍ	Very confused.	wunwaany^eliiny
ວົງ	Circle	wong
ວົງ^ໂຄຈອນ	Orbit	wong^okhch`n
ວົງກົບ	Frog ring	wongkob
ວົງໂຄ້ງ	Circle	wongokhng
ວົງສາ	Circle	wongsaa
ວົງດົນຕຼີ	Orchestra	wongdonhlii
ວົງເດືອນ	Moon	wongedyy`n
ວົງຕະກຸນ	Family circle	wonghakun
ວົງປະຕູ	Door ring	wongpahuu
ວົງມົນ	Circle	wongmon
ວົງລໍ້	Wheel	wonglM
ວົງລ້ອມ	Surrounding	wongl`m
ວົງວຽນ	Circle	wongwnyn
ວົງຮອບ	Circle	wong`b
ວົນ	Worry	won
ວົນນຳ	Take care	wonnam
ວົນວາຍ	Worry	wonwaany
ວົນວຽນ	Wandering	wonwnyn
ວຽກ	Work	wnyk
ວຽກ^ໜັກ	Hard work	wnyk^hnk
ວຽກການ	Work	wnykkaan
ວຽກງານ	Work	wnykngaan
ວຽກບ້ານ^ການເຮືອນ	Housework^Housework	wnykbaan^kaaneyy`n
ວຽກໄຮ່^ການນາ	Farming	wnykai^kaannaa
ວຽນ	Vienna	wnyn
ເວດທະນາ	Discussion	ewdthanaa
ເວດມົນ	Magic	ewdmon
ເວດມົນ^ກະຖາ	Magic spell	ewdmon^kathaa
ເວດມົນ^ກົນຄາຖາ	Magic spells	ewdmon^konkhaathaa
ເວດມົນ^ຄາຖາ	Witchcraft	ewdmon^khaathaa
ເວທີ	Stage	ewthii
ເວນກຳ	Crime	ewnkam
ເວນຍາມ	Guard	ewnnyaam
ເວນທັນ	Wenthan	ewnthn
ເວລາ	Time	ewlaa
ເວລາ^ເດືອດຮ້ອນ	Time of trouble	ewlaa^edyy`d`n
ເວລາ^ນັ້ນ	That time	ewlaa^nn
ເວລາສັ້ນ	Short time	ewlaasn
ເວລາໃດ	What time?	ewlaaayd
ເວລາໃດ^ເວລາໜຶ່ງ	What time?	ewlaaayd^ewlaahnyng
ເວລານັ້ນ	At that time	ewlaann
ເວຫາ	Time	ewhaa
ເວັນ	Day	ewn
ເວັ້ນ	Except	ewn
ເວັ້ນຈາກ	Except from	ewnchaak
ເວັ້ນເສຍ	Unless	ewnesny
ເວັ້ນແຕ່	Unless	ewneih
ເວັ້ນໄປ	Skip	ewnaip
ເວັ້ນໄວ້	Except	ewnaiw
ເວັ້ນໄວ້ແຕ່	Unless	ewnaiweih
ເວີ່ນ	Wind	ewiin
ເວົ້າ	Speak	ewoaa
ເວົ້າ^ຂວັນ^ນິນທາ	gossip	ewoaa^khwn^ninthaa
ເວົ້າ^ຄວາມຈິງ	Tell the truth.	ewoaa^khwaamching
ເວົ້າ^ຄຳ	Speak^word	ewoaa^kham
ເວົ້າ^ຄຸຍໂມ້	Speak, speak.	ewoaa^khunyom
ເວົ້າ^ຄູຍ	Speak loudly.	ewoaa^khuuny
ເວົ້າ^ຄູຍໂມ້^ໂອ້ອວດ	Speak, boast, boast.	ewoaa^khuunyom^o``wd
ເວົ້າ^ຈົບ	Finished speaking.	ewoaa^chob
ເວົ້າ^ຊົ່ວ	Speak badly.	ewoaa^sow
ເວົ້າ^ຕົວະ	Tell a lie.	ewoaa^howa
ເວົ້າ^ໂມ້	Speak^moon	ewoaa^om
ເວົ້າ^ວ່າ	Say that	ewoaa^waa
ເວົ້າ^ຫຍໍ້ຫຍັນ	To speak in a nutshell	ewoaa^hnyMhnyn
ເວົ້າ^ໃຫ້	Tell me.	ewoaa^ayh
ເວົ້າ^ໂອ້ອວດ^ຈອງຫອງ	Speak, boast, and be arrogant.	ewoaa^o``wd^ch`ngh`ng
ເວົ້າກັນ	Talk to each other	ewoaakn
ເວົ້າຂວັນ	Say a slogan	ewoaakhwn
ເວົ້າຂວັນ^ຄົນ	To talk nonsense to people.	ewoaakhwn^khon
ເວົ້າຂວັນ^ນິນທາ	gossip	ewoaakhwn^ninthaa
ເວົ້າຈາ	Speak up	ewoaachaa
ເວົ້າຕົວະ	Tell a lie	ewoaahowa
ເວົ້າເຖິງ	Speaking of	ewoaaething
ເວົ້າມາ^ນີ້ເຖີດ	Say it here.	ewoaamaa^niiethiid
ເວົ້າແລ້ວ^ເວົ້າອີກ	I said it, say it again.	ewoaaeilw^ewoaa`iik
ເວົ້າຫຍັງ	What do you say?	ewoaahnyng
ເວົ້າຫລາຍ	Talk a lot.	ewoaahlaany
ເວົ້າຫລິ້ນ	Play around	ewoaahlin
ແວ່	Wait.	eiw
ແວ່^ເຂົ້າໄປ	Come in.	eiw^ekhoaaaip
ແວ່^ໄປເບິ່ງ	Come on, let's go see.	eiw^aipebing
ແວ່ນ	Mirror	eiwn
ແວ່ນແຍງ	Mirror	eiwneinyng
ແວບວັບ	Web	eiwbwb
ແວ່ຢາມ	Drop by	eiwyaam
ແວວ	Welsh	eiww
ແວ່ວ	Pass	eiww
ແວວຕາ	Eye contact	eiwwhaa
ແວວວັບ	Web	eiwwwb
ແວວວາວ	Wow wow	eiwwwaaw
ແວະ	Wow	eiwa
ໂວຍວາຍ	Wailing	ownywaany
ໂວຫານ	Vodka	owhaan
ໃວ້	Yes	ayw
ໄວ	Fast	aiw
ໄວ້	Leave	aiw
ໄວ^ຂຶ້ນ	Faster	aiw^khyn
ໄວ^ຄະນອງ	Fast^fast	aiw^khan`ng
ໄວ້^ເຄື່ອງ	Leave the machine.	aiw^ekhyy`ng
ໄວ^ສຸດຂີດ	Very fast.	aiw^sudkhiid
ໄວ້^ຊີວິດ	Save life	aiw^siiwid
ໄວ້^ໃຊ້	Leave it.	aiw^ays
ໄວ້^ໄດ້	Leave it.	aiw^aid
ໄວ^ທີ່ສຸດ	The fastest	aiw^thiisud
ໄວ້^ທຸກຍຸກ	All ages	aiw^thuknyuk
ໄວ້^ທຸກຢ່າງ	Leave everything.	aiw^thukyaang
ໄວ້^ໃນ	Leave it in	aiw^ayn
ໄວ້^ເລີຍ	Leave it alone.	aiw^eliiny
ໄວ້^ແລ້ວ	Done.	aiw^eilw
ໄວ^ໜຸ່ມ	Young	aiw^hnum
ໄວ້^ອາ^ໄລ	Leave me alone.	aiw^`aa^ail
ໄວ້^ອາໄລ	Leave ^ Alai	aiw^`aaail
ໄວ້^ອາໄລ^ອາວອນ	Leave, stay, stay.	aiw^`aaail^`aaw`n
ໄວໆ	Quickly	aiw+
ໄວກວ່າ	Faster	aiwkwaa
ໄວກາງ	Middle-aged	aiwkaang
ໄວ້ໃຈ	Trust	aiwaych
ໄວ້ໃຈ^ໄດ້	Trustworthy.	aiwaych^aid
ໄວສາວ	Young girl	aiwsaaw
ໄວຊະຣາ	Emperor	aiwsaraa
ໄວຊາທາ	Visakhapatnam	aiwsaathaa
ໄວເຍົາ	Youth	aiwenyoaa
ໄວ້ທຸກ	Mourning	aiwthuk
ໄວ້ເນື້ອ^ເຊື່ອໃຈ	Trust me.	aiwenyy`^esyy`aych
ໄວ້ໃນ	In the	aiwayn
ໄວ້ເລີຍ	Leave it alone.	aiweliiny
ໄວ້ແລ້ວ	Already done	aiweilw
ໄວວາ	Fast	aiwwaa
ໄວ້ວາງໃຈ	Trust	aiwwaangaych
ໄວັ	Fast	aiw
ຫໍ	Tower	hM
ຫໍ່	Wrap	hM
ຫໍຄອຍ	Tower	hMkh`ny
ຫໍຄອຍ^ໃຫຍ່	Big tower	hMkh`ny^ayhny
ຫງ່ວມເຫງົາ	Full of laughter	hngwmehngoaa
ຫງອກ	Ngoc	hng`k
ຫງອຍເຫງົາ	A little bit of a mess	hng`nyehngoaa
ຫງາຍ	Good	hngaany
ຫງາຍຫລັງ	Back side	hngaanyhlng
ຫງ່ຽງ	Leaning	hngnyng
ຫງ່ຽງຫູ	Tilt your ear	hngnynghuu
ຫງ່ຽງຫູ^ຟັງ	Listen carefully.	hngnynghuu^fng
ຫຍໍ້ໆ	Briefly	hnyM+
ຫຍໍ້ຫຍັນ	Abridged	hnyMhnyn
ຫຍັງ	What?	hnyng
ຫຍັງ^ເລີຍ	What's up?	hnyng^eliiny
ຫຍັງແດ່	What is it?	hnyngeid
ຫຍັງເລີຍ	What's up?	hnyngeliiny
ຫຍັງໝົດ	What's up?	hnynghmod
ຫຍັບ	Move	hnyb
ຫຍັບເຂົ້າ	Move in	hnybekhoaa
ຫຍັບໜີ	Move away	hnybhnii
ຫຍ້າ	Grass	hnyaa
ຫຍໍ້າ	Short	hnyMaa
ຫຍ້າຂຽວ	Green grass	hnyaakhnyw
ຫຍ້າຂຽວ^ສົດ	Fresh green grass	hnyaakhnyw^sod
ຫຍໍ້າເຂົ້າ	Rice cracker	hnyMaaekhoaa
ຫຍ້າຄາ	Grass	hnyaakhaa
ຫຍາບ	Rough	hnyaab
ຫຍາບຄາຍ	Rude	hnyaabkhaany
ຫຍາບຊ້າ	Rough and slow	hnyaabsaa
ຫຍ້າໜາມ	Thorny grass	hnyaahnaam
ຫຍ້າແຫ້ງ	Dry grass	hnyaaeihng
ຫຍ້າອໍ້	Reed grass	hnyaa`M
ຫຍ້າອ່ອນ	Young grass	hnyaa``n
ຫຍ້າຮົກ	Grass	hnyaaok
ຫຍິບ	Sewing	hnyib
ຫຍິບແສ່ວ	Sewing and embroidery	hnyibeisw
ຫຍຸ້ງ	Busy	hnyung
ຫຍຸ້ງກ່ຽວ	Be busy	hnyungknyw
ຫຍຸ້ງກ່ຽວ^ກັບ	To be concerned with	hnyungknyw^kb
ຫຍຸ້ງໃຈ	Troubled	hnyungaych
ຫຍຸ້ງຍາກ	Difficult	hnyungnyaak
ຫຍຸ້ງຢູ່	Busy	hnyungyuu
ຫຍຸ້ງຢູ່ກັບ	Busy with	hnyungyuukb
ຫໍເຕັນ	Tent	hMehn
ຫໍເຕັນ^ສັກສິດ	The Holy Tent	hMehn^sksid
ຫໍເຕັນ^ນັ້ນ	That tent	hMehn^nn
ໜໍ	Baby	hnM
ໜໍ່	Shoot	hnM
